服务器 ID,玩家 ID,玩家信息,标题信息,附件资产信息,自定义
2001008,220212659,,,,"[{""assetType"": ""item"", ""id"": 11112725, ""amount"": 1}]"
2001008,220213133,,,,"[{""assetType"": ""item"", ""id"": 11112725, ""amount"": 2}]"
2001008,220218615,,,,"[{""assetType"": ""item"", ""id"": 11112725, ""amount"": 2}]"
2001508,221138741,,,,"[{""assetType"": ""item"", ""id"": 11112725, ""amount"": 1}]"
2001508,221148118,,,,"[{""assetType"": ""item"", ""id"": 11112725, ""amount"": 101}, {""assetType"": ""item"", ""id"": 11112726, ""amount"": 2}]"
2001508,221175018,,,,"[{""assetType"": ""item"", ""id"": 11112725, ""amount"": 1}]"
2001508,221202036,,,,"[{""assetType"": ""item"", ""id"": 11112725, ""amount"": 1}]"
2001508,221208336,,,,"[{""assetType"": ""item"", ""id"": 11112725, ""amount"": 1}]"
2001508,221212835,,,,"[{""assetType"": ""item"", ""id"": 11112725, ""amount"": 1}]"
2001508,221212899,,,,"[{""assetType"": ""item"", ""id"": 11112725, ""amount"": 1}]"
2001508,221227265,,,,"[{""assetType"": ""item"", ""id"": 11112725, ""amount"": 1}]"
2001508,221241156,,,,"[{""assetType"": ""item"", ""id"": 11112725, ""amount"": 25}]"
2001508,221333070,,,,"[{""assetType"": ""item"", ""id"": 11112725, ""amount"": 1}]"
2001508,221340880,,,,"[{""assetType"": ""item"", ""id"": 11112725, ""amount"": 1}]"
2001508,221343735,,,,"[{""assetType"": ""item"", ""id"": 11112725, ""amount"": 1}]"
2001508,221460680,,,,"[{""assetType"": ""item"", ""id"": 11112725, ""amount"": 2}]"
2001508,221467626,,,,"[{""assetType"": ""item"", ""id"": 11112725, ""amount"": 1}]"
2001508,221471521,,,,"[{""assetType"": ""item"", ""id"": 11112725, ""amount"": 1}]"
2001508,221484495,,,,"[{""assetType"": ""item"", ""id"": 11112725, ""amount"": 1}]"
2001508,221491862,,,,"[{""assetType"": ""item"", ""id"": 11112725, ""amount"": 1}]"
2001508,221492097,,,,"[{""assetType"": ""item"", ""id"": 11112725, ""amount"": 1}]"
2001508,221495796,,,,"[{""assetType"": ""item"", ""id"": 11112725, ""amount"": 1}]"
2001508,221496825,,,,"[{""assetType"": ""item"", ""id"": 11112725, ""amount"": 1}]"
2001508,221530776,,,,"[{""assetType"": ""item"", ""id"": 11112725, ""amount"": 1}]"
2001508,221534705,,,,"[{""assetType"": ""item"", ""id"": 11112725, ""amount"": 1}]"
2001508,221551968,,,,"[{""assetType"": ""item"", ""id"": 11112725, ""amount"": 1}]"
2001508,221565042,,,,"[{""assetType"": ""item"", ""id"": 11112725, ""amount"": 1}]"
2001508,221574792,,,,"[{""assetType"": ""item"", ""id"": 11112725, ""amount"": 1}]"
2001508,221592737,,,,"[{""assetType"": ""item"", ""id"": 11112725, ""amount"": 1}]"
2001508,221615297,,,,"[{""assetType"": ""item"", ""id"": 11112725, ""amount"": 1}]"
2001508,221617248,,,,"[{""assetType"": ""item"", ""id"": 11112725, ""amount"": 76}]"
2001508,221632231,,,,"[{""assetType"": ""item"", ""id"": 11112725, ""amount"": 2}]"
2001508,221651823,,,,"[{""assetType"": ""item"", ""id"": 11112725, ""amount"": 1}]"
2001508,221653851,,,,"[{""assetType"": ""item"", ""id"": 11112725, ""amount"": 2}]"
2001508,221655718,,,,"[{""assetType"": ""item"", ""id"": 11112725, ""amount"": 1}]"
2001508,221657739,,,,"[{""assetType"": ""item"", ""id"": 11112725, ""amount"": 1}]"
2001508,221657863,,,,"[{""assetType"": ""item"", ""id"": 11112725, ""amount"": 1}]"
2001508,221669789,,,,"[{""assetType"": ""item"", ""id"": 11112725, ""amount"": 1}]"
2001508,221684888,,,,"[{""assetType"": ""item"", ""id"": 11112725, ""amount"": 1}]"
2001508,221688419,,,,"[{""assetType"": ""item"", ""id"": 11112725, ""amount"": 2}]"
2001508,221704273,,,,"[{""assetType"": ""item"", ""id"": 11112725, ""amount"": 26}]"
2001508,221708307,,,,"[{""assetType"": ""item"", ""id"": 11112725, ""amount"": 2}]"
2001508,221716957,,,,"[{""assetType"": ""item"", ""id"": 11112725, ""amount"": 1}]"
2001508,221718067,,,,"[{""assetType"": ""item"", ""id"": 11112725, ""amount"": 1}]"
2001508,221720574,,,,"[{""assetType"": ""item"", ""id"": 11112725, ""amount"": 2}]"
2001508,221724577,,,,"[{""assetType"": ""item"", ""id"": 11112725, ""amount"": 1}]"
2001508,221725565,,,,"[{""assetType"": ""item"", ""id"": 11112725, ""amount"": 1}]"
2001508,221732884,,,,"[{""assetType"": ""item"", ""id"": 11112725, ""amount"": 1}]"
2001508,221747275,,,,"[{""assetType"": ""item"", ""id"": 11112725, ""amount"": 1}]"
2001508,221758789,,,,"[{""assetType"": ""item"", ""id"": 11112725, ""amount"": 1}]"
2001508,221760305,,,,"[{""assetType"": ""item"", ""id"": 11112725, ""amount"": 1}]"
2001508,221760746,,,,"[{""assetType"": ""item"", ""id"": 11112725, ""amount"": 1}]"
