server_id,user_id,asset_id,total_consume
2001008,220212659,11112725,1
2001008,220213133,11112725,2
2001008,220218615,11112725,2
2001508,221138741,11112725,1
2001508,221148118,11112725,101
2001508,221148118,11112726,2
2001508,221175018,11112725,1
2001508,221202036,11112725,1
2001508,221208336,11112725,1
2001508,221212835,11112725,1
2001508,221212899,11112725,1
2001508,221227265,11112725,1
2001508,221241156,11112725,25
2001508,221333070,11112725,1
2001508,221340880,11112725,1
2001508,221343735,11112725,1
2001508,221460680,11112725,2
2001508,221467626,11112725,1
2001508,221471521,11112725,1
2001508,221484495,11112725,1
2001508,221491862,11112725,1
2001508,221492097,11112725,1
2001508,221495796,11112725,1
2001508,221496825,11112725,1
2001508,221530776,11112725,1
2001508,221534705,11112725,1
2001508,221551968,11112725,1
2001508,221565042,11112725,1
2001508,221574792,11112725,1
2001508,221592737,11112725,1
2001508,221615297,11112725,1
2001508,221617248,11112725,76
2001508,221632231,11112725,2
2001508,221651823,11112725,1
2001508,221653851,11112725,2
2001508,221655718,11112725,1
2001508,221657739,11112725,1
2001508,221657863,11112725,1
2001508,221669789,11112725,1
2001508,221684888,11112725,1
2001508,221688419,11112725,2
2001508,221704273,11112725,26
2001508,221708307,11112725,2
2001508,221716957,11112725,1
2001508,221718067,11112725,1
2001508,221720574,11112725,2
2001508,221724577,11112725,1
2001508,221725565,11112725,1
2001508,221732884,11112725,1
2001508,221747275,11112725,1
2001508,221758789,11112725,1
2001508,221760305,11112725,1
2001508,221760746,11112725,1
2001508,221760780,11112725,2
2001508,221769079,11112725,1
2001508,221776445,11112725,1
2001508,221793963,11112725,1
2001508,221819806,11112725,2
2001508,221824485,11112725,1
2001508,221827922,11112725,1
2001508,221828149,11112725,1
2001508,221842096,11112725,1
2001508,221894674,11112725,1
2001508,221902511,11112725,1
2001508,221906624,11112725,1
2001508,221995618,11112725,2
2001508,222012969,11112725,1
2001508,222014473,11112725,27
2001508,222018715,11112725,997
2001508,222018715,11112726,8
2001508,222027365,11112725,27
2001508,222032651,11112725,1
2001508,222036574,11112725,2
2001508,222058909,11112725,1
2001508,222070016,11112725,1
2001508,222096406,11112725,2
2001508,222143158,11112725,1
2001508,222161529,11112725,1
2001508,223178287,11112725,2
2006102,224350142,11112725,1
2006102,3526126,11112725,1
2006102,3731378,11112725,1
2006102,3989369,11112725,1
2006102,4459648,11112725,1
2006102,4516473,11112725,1
2006102,62553613,11112725,19
2006402,6313411,11112725,1
2006402,8024634,11112725,1
2006502,223280529,11112725,1
2006502,2967169,11112725,1
2006502,4593813,11112725,1
2006502,4818252,11112725,1
2006502,5281751,11112725,1
2006702,8137482,11112725,1
2006702,8378022,11112725,1
2006702,8391170,11112725,1
2006702,8398735,11112725,1
2007202,193579,11112725,1
2007202,19473447,11112725,1
2007202,2700357,11112725,1
2007202,5298070,11112725,1
2007202,7162798,11112725,1
2007202,7989837,11112725,1
2007202,8092439,11112725,2
2007202,8131027,11112725,1
2007202,8650736,11112725,1
2008502,5012972,11112725,1
2008502,5046055,11112725,1
2008502,5861504,11112725,1
2008502,6077534,11112725,1
2008502,6405540,11112725,1
2008502,6449571,11112725,1
2008502,7230289,11112725,1
2008502,8851683,11112725,1
2008502,8866641,11112725,2
2010102,224114329,11112725,1
2010102,35404965,11112725,1
2010102,47478138,11112725,2
2010102,6726996,11112725,1
2010102,6860445,11112725,1
2010102,7006391,11112725,1
2010102,7651372,11112725,1
2010102,7661211,11112725,1
2010102,7679536,11112725,1
2010302,6649007,11112725,1
2010302,7867149,11112725,1
2010302,9146798,11112725,1
2012102,6217802,11112725,1
2012102,6262638,11112725,1
2012102,8754296,11112725,1
2012102,9847469,11112725,1
2012302,3523061,11112725,2
2012302,8454698,11112725,2
2012302,8499546,11112725,1
2012302,8573084,11112725,1
2012302,8993368,11112725,1
2012302,9038838,11112725,2
2012402,10108258,11112725,1
2012402,214225029,11112725,1
2012402,222198881,11112725,1
2012402,223455510,11112725,1
2012402,3806675,11112725,27
2012402,5619742,11112725,1
2012402,5762299,11112725,1
2012402,9079566,11112725,1
2012402,9101176,11112725,1
2013402,10091853,11112725,2
2013402,7055438,11112725,1
2013402,80485564,11112725,1
2013402,8327556,11112725,1
2013402,8327905,11112725,1
2013402,9557395,11112725,1
2013602,10062733,11112725,1
2013602,10180870,11112725,1
2013602,9372966,11112725,1
2013602,9936112,11112725,1
2014502,10549156,11112725,2
2014502,12976432,11112725,1
2014502,13354594,11112725,1
2014502,13361175,11112725,2
