# 字段:	ID	Group	ItemID	备注	ItemNum	Weight	SReward	Order			
# 模板尼罗Group319; 核心大奖=深海猎手潜艇皮15065(SReward=1); 尼罗石币1129→深海宝珠1151; 养成料复用; 数值/权重待数值核
32100	321	15065	深海猎手·潜艇行军皮(核心大奖)	1	10	1	0
32101	321	1151	深海宝珠(兑换币)	1000	20	1	1			
32102	321	55101	神秘金属	1	500	0	2			
32103	321	1151	深海宝珠(兑换币)	20	300	0	3			
32104	321	4101	材料票	5	1200	0	4			
32105	321	1022	永生玫瑰	1	500	0	5			
32106	321	1151	深海宝珠(兑换币)	200	40	0	6			
32107	321	19003	传奇技能书	1	500	0	7			
32108	321	11003	30分钟通用加速	1	1000	0	8			
32109	321	1151	深海宝珠(兑换币)	1	2500	0	9			
32110	321	11002	5分钟通用加速	1	3440	0	10			
