server_id,user_id,人手一份
2006102,3977558,18个BP道具 11112091 骰子道具不变 11112498 111110264 2026复活节自选宝箱
2006102,4200722,
2006102,52645449,
2006102,6454041,
2006102,8338915,
2006402,11074843,
2006402,11173023,
2006402,3871154,
2006402,4239086,
2006402,7412544,
2006402,7450591,
2006402,8159597,
2006502,2802036,
2006502,2968081,
2006502,4588369,
2006502,4596249,
2006502,4829598,
2006502,4842836,
2006502,5058136,
2007202,1073511,
2007202,22627293,
2007202,23709193,
2007202,23809498,
2007202,24505327,
2007202,5302387,
2007202,6305433,
2007202,7162798,
2007202,7182003,
2007202,8128487,
2007202,8612339,
2008502,5689188,
2008502,6668272,
2008502,8906268,
2010102,7658111,
2010302,8763161,
2012102,8883313,
2012102,8945927,
2012302,7893728,
2012302,8257034,
2012402,20223159,
2012402,3781116,
2012402,5517812,
2012402,6865857,
2012402,8158302,
2012402,8642776,
2012402,8654505,
2012402,8815955,
2012402,8914963,
2012402,8963465,
2013402,7378760,
2013402,9570697,
2013402,9692226,
2013602,9375402,
2013602,9385911,
2013602,9748624,
2014502,19775234,
2015702,10878467,
2015702,13591854,
2015702,13649676,
2015702,14206364,
2015702,14983329,
2016902,11534557,
2016902,16882752,
2016902,169859,
2016902,22009185,
2016902,47557017,
2016902,56262169,
2017802,11850322,
2017802,16620082,
2018202,12303500,
2018202,12346315,
2018502,11139491,
2018502,12735607,
2018502,17676293,
2018502,17730425,
2021902,14252259,
2021902,14712628,
2021902,15596902,
2022002,14365010,
2023502,13173406,
2023502,13173590,
2023502,16836715,
2023502,5608223,
2024402,20795899,
2024502,19424274,
2024502,19448494,
2024502,23125917,
2024702,16325355,
2024702,16371371,
2024702,18784417,
2024702,21450330,
2025502,18163099,
2025502,20971213,
2026002,19650940,
2026002,20302898,
2027002,20302734,
2028602,24608076,
2029902,22196808,
2029902,23558709,
2030002,25905112,
2031402,24346933,
2031402,24428746,
2032002,25378998,
2032402,25566753,
2032402,27652679,
2032402,27777369,
2032402,27837911,
2032402,35213391,
2033202,17502142,
2033202,35066724,
2033902,19928862,
2033902,21105885,
2033902,23969698,
2033902,27230447,
2037402,18703214,
2037402,35611031,
2037402,35614624,
2037402,35627759,
2038602,29055040,
2038602,31692115,
2038602,33106717,
2039502,12146857,
2039502,31369018,
2039502,32116408,
2039502,35875544,
2041002,13918668,
2041002,16303419,
2041002,21815762,
2041002,32101526,
2041002,32243542,
2041002,32499713,
2041002,32624088,
2041002,32764581,
2041002,33160780,
2041002,3665601,
2041002,37962654,
2041002,38531959,
2041002,43589700,
2043802,19594242,
2043802,33648452,
2046502,38520915,
2047102,39362800,
2047102,55554306,
2047502,37311632,
2047502,38095618,
2047502,38474131,
2047502,38478123,
2047502,38489121,
2047502,40928158,
2049702,38704798,
2049702,38746584,
2049702,39585978,
2049702,41821861,
2049702,48969849,
2050502,37647599,
2050502,41005325,
2050802,23127774,
2050802,26102531,
2050802,40434619,
2051302,42219379,
2051302,43060407,
2051302,43142161,
2051302,54295305,
2052502,43780156,
2052502,43801027,
2052502,44351743,
2052502,49833858,
2052502,52436180,
2052702,12210316,
2052702,12654116,
2054002,19893734,
2054002,35027189,
2054002,63778994,
2054202,11787396,
2054202,44927476,
2054202,44931151,
2054202,45623299,
2054202,45934275,
2054202,46019951,
2054202,47084081,
2054202,47931976,
2055302,42280415,
2055302,42723630,
2055302,42743959,
2055302,46920911,
2055302,47303156,
2055302,47313136,
2055302,47541368,
2055302,47569781,
2055802,50416621,
2055802,56014189,
2056102,46604522,
2056102,48614050,
2056102,48669632,
2058302,52234112,
2058302,52274842,
2058302,52598655,
2058402,49669542,
2058402,51791042,
2058402,53069579,
2058402,53138586,
2058402,53165079,
2058402,53358481,
2058402,53752896,
2058402,54395018,
2058402,55906196,
2058802,53324485,
2060302,54938562,
2060302,55674862,
2060302,55843654,
2060302,56649989,
2060302,56667850,
2060302,56866711,
2060302,65065503,
2060902,57877737,
2060902,59725113,
2060902,59961124,
2061402,20031369,
2061402,32691787,
2061402,58149969,
2061402,58861275,
2061402,59586093,
2062402,58910127,
2062402,67428918,
2062602,13083476,
2062602,6002215,
2062602,61452615,
2062602,62354683,
2062602,62911328,
2062602,64785139,
2063202,28877038,
2063202,49831730,
2063202,58251878,
2063202,59391335,
2066102,73271573,
2066102,73276609,
2066102,73604891,
2066102,73618024,
2068602,34839533,
2068602,35749819,
2068602,69885523,
2068602,70971660,
2068602,71874137,
2069702,70373765,
2069702,71916001,
2069702,74700301,
2073702,43889342,
2073702,73474771,
2073702,75330447,
2074702,74174722,
2074702,74493708,
2075202,78628455,
2075802,76596580,
2075802,77121810,
2075802,79142355,
2077002,200554283,
2077002,80981271,
2077102,202863679,
2077102,202943605,
2077102,79782981,
2077102,80141190,
2077102,80653261,
2077102,80716692,
