server_id,user_id,iap_id,buy_count
2000302,212412097,2013100373,1
2000302,212412097,2013100487,1
2000302,212412097,2013101100,1
2000302,212412097,2013101101,2
2000302,212412097,2013101102,1
2000302,212412097,2013101103,1
2000302,212412097,2013101104,1
2000302,212412097,2013101105,1
2000302,212412097,2013101106,1
2000302,212412097,2013101136,1
2000302,212412097,2013101244,1
2000302,212412097,201330991,1
2000302,212412097,2013450077,1
2000302,212412097,2013450078,1
2000302,212412097,2013450079,1
2000302,212412097,2013450080,1
2000302,212412097,2013450081,1
2000302,212412097,2013450086,1
2000302,212412097,2013500355,1
2000302,212412097,2013500359,1
2000302,212412097,2013500832,1
2000302,212412097,2013501001,1
2000302,212412097,2013501002,1
2000302,212412097,2013501003,1
2000302,212412097,2013501004,1
2000302,212412097,2013501506,1
2000302,212412097,2013501999,1
2000302,212412097,2013505000,2
2000302,212412097,2013505001,1
2000302,212412097,2013505002,1
2000302,212412097,2013505003,1
2000302,212412097,2013505004,1
2000302,212412097,2013505006,1
2000302,212412097,2013505007,1
2000302,212412097,2013505008,1
2000302,212412097,2013505009,1
2000302,212412097,2013505027,1
2000302,212412097,2013505028,1
2000302,212412097,2013510383,1
2000302,212412097,2013510995,1
2000302,212412097,201390132,1
2000302,212412097,201390134,1
2000302,83025901,2013101136,1
2000302,83025901,201330990,1
2000302,83026878,2013100897,1
2000302,83026878,2013100898,1
2000302,83026878,2013101100,1
2000302,83026878,2013101244,1
2000302,83026878,2013400164,1
2000302,83026878,2013480006,1
2000302,83026878,2013480009,1
2000302,83026878,2013500150,1
2000302,83026878,201390130,1
2000302,83026878,201390131,1
2000808,219012183,2013100897,1
2000808,219012183,2013101244,1
2000808,219012183,2013230006,1
2000808,219012183,2013230125,1
2000808,219012183,2013360116,1
2000808,219012183,2013360117,1
2000808,219012183,2013450041,1
2000808,219012183,2013450042,1
2000808,219012183,2013450086,1
2000808,219012183,2013450100,1
2000808,219012183,2013480009,1
2000808,219012183,2013480010,1
2000808,219012183,2013500356,1
2000808,219012183,2013500830,1
2000808,219012183,2013501500,1
2000808,219012183,2013501506,1
2000808,219012183,2013501999,1
2000808,219012183,2013505007,3
2000808,219012183,2013505010,1
2000808,219012183,2013505012,1
2000808,219012183,2013505013,1
2000808,219012183,2013505014,1
2000808,219012183,2013505016,1
2000808,219012183,2013505018,1
2000808,219012183,2013505019,1
2000808,219012183,2013505020,1
2000808,219012183,2013505021,1
2000808,219012183,2013505026,1
2000808,219012183,2013505027,1
2000808,219012183,2013505028,1
