server_id,user_id,asset_id,amount
2006102,3977558,11112091,18
2006102,3977558,11112498,6
2006102,3977558,111110264,1
2006102,4200722,11112091,18
2006102,4200722,11112498,6
2006102,4200722,111110264,1
2006102,52645449,11112091,18
2006102,52645449,11112498,6
2006102,52645449,111110264,1
2006102,6454041,11112091,18
2006102,6454041,11112498,6
2006102,6454041,111110264,1
2006102,8338915,11112091,18
2006102,8338915,11112498,6
2006102,8338915,111110264,1
2006402,11074843,11112091,18
2006402,11074843,11112498,6
2006402,11074843,111110264,1
2006402,11173023,11112091,18
2006402,11173023,11112498,6
2006402,11173023,111110264,1
2006402,3871154,11112091,18
2006402,3871154,11112498,6
2006402,3871154,111110264,1
2006402,4239086,11112091,18
2006402,4239086,11112498,6
2006402,4239086,111110264,1
2006402,7412544,11112091,18
2006402,7412544,11112498,6
2006402,7412544,111110264,1
2006402,7450591,11112091,18
2006402,7450591,11112498,6
2006402,7450591,111110264,1
2006402,8159597,11112091,18
2006402,8159597,11112498,6
2006402,8159597,111110264,1
2006502,2802036,11112091,18
2006502,2802036,11112498,6
2006502,2802036,111110264,1
2006502,2968081,11112091,18
2006502,2968081,11112498,6
2006502,2968081,111110264,1
2006502,4588369,11112091,18
2006502,4588369,11112498,6
2006502,4588369,111110264,1
2006502,4596249,11112091,18
2006502,4596249,11112498,6
2006502,4596249,111110264,1
2006502,4829598,11112091,18
2006502,4829598,11112498,6
2006502,4829598,111110264,1
2006502,4842836,11112091,18
2006502,4842836,11112498,6
2006502,4842836,111110264,1
2006502,5058136,11112091,18
2006502,5058136,11112498,6
2006502,5058136,111110264,1
2007202,1073511,11112091,18
2007202,1073511,11112498,6
2007202,1073511,111110264,1
2007202,22627293,11112091,18
2007202,22627293,11112498,6
2007202,22627293,111110264,1
2007202,23709193,11112091,18
2007202,23709193,11112498,6
2007202,23709193,111110264,1
2007202,23809498,11112091,18
2007202,23809498,11112498,6
2007202,23809498,111110264,1
2007202,24505327,11112091,18
2007202,24505327,11112498,6
2007202,24505327,111110264,1
2007202,5302387,11112091,18
2007202,5302387,11112498,6
2007202,5302387,111110264,1
2007202,6305433,11112091,18
2007202,6305433,11112498,6
2007202,6305433,111110264,1
2007202,7162798,11112091,18
2007202,7162798,11112498,6
2007202,7162798,111110264,1
2007202,7182003,11112091,18
2007202,7182003,11112498,6
2007202,7182003,111110264,1
2007202,8128487,11112091,18
2007202,8128487,11112498,6
2007202,8128487,111110264,1
2007202,8612339,11112091,18
2007202,8612339,11112498,6
2007202,8612339,111110264,1
2008502,5689188,11112091,18
2008502,5689188,11112498,6
2008502,5689188,111110264,1
2008502,6668272,11112091,18
2008502,6668272,11112498,6
2008502,6668272,111110264,1
2008502,8906268,11112091,18
2008502,8906268,11112498,6
2008502,8906268,111110264,1
2010102,7658111,11112091,18
2010102,7658111,11112498,6
2010102,7658111,111110264,1
2010302,8763161,11112091,18
2010302,8763161,11112498,6
2010302,8763161,111110264,1
2012102,8883313,11112091,18
2012102,8883313,11112498,6
2012102,8883313,111110264,1
2012102,8945927,11112091,18
2012102,8945927,11112498,6
2012102,8945927,111110264,1
2012302,7893728,11112091,18
2012302,7893728,11112498,6
2012302,7893728,111110264,1
2012302,8257034,11112091,18
2012302,8257034,11112498,6
2012302,8257034,111110264,1
2012402,20223159,11112091,18
2012402,20223159,11112498,6
2012402,20223159,111110264,1
2012402,3781116,11112091,18
2012402,3781116,11112498,6
2012402,3781116,111110264,1
2012402,5517812,11112091,18
2012402,5517812,11112498,6
2012402,5517812,111110264,1
2012402,6865857,11112091,18
2012402,6865857,11112498,6
2012402,6865857,111110264,1
2012402,8158302,11112091,18
2012402,8158302,11112498,6
2012402,8158302,111110264,1
2012402,8642776,11112091,18
2012402,8642776,11112498,6
2012402,8642776,111110264,1
2012402,8654505,11112091,18
2012402,8654505,11112498,6
2012402,8654505,111110264,1
2012402,8815955,11112091,18
2012402,8815955,11112498,6
2012402,8815955,111110264,1
2012402,8914963,11112091,18
2012402,8914963,11112498,6
2012402,8914963,111110264,1
2012402,8963465,11112091,18
2012402,8963465,11112498,6
2012402,8963465,111110264,1
2013402,7378760,11112091,18
2013402,7378760,11112498,6
2013402,7378760,111110264,1
2013402,9570697,11112091,18
2013402,9570697,11112498,6
2013402,9570697,111110264,1
2013402,9692226,11112091,18
2013402,9692226,11112498,6
2013402,9692226,111110264,1
2013602,9375402,11112091,18
2013602,9375402,11112498,6
2013602,9375402,111110264,1
2013602,9385911,11112091,18
2013602,9385911,11112498,6
2013602,9385911,111110264,1
2013602,9748624,11112091,18
2013602,9748624,11112498,6
2013602,9748624,111110264,1
2014502,19775234,11112091,18
2014502,19775234,11112498,6
2014502,19775234,111110264,1
2015702,10878467,11112091,18
2015702,10878467,11112498,6
2015702,10878467,111110264,1
2015702,13591854,11112091,18
2015702,13591854,11112498,6
2015702,13591854,111110264,1
2015702,13649676,11112091,18
2015702,13649676,11112498,6
2015702,13649676,111110264,1
2015702,14206364,11112091,18
2015702,14206364,11112498,6
2015702,14206364,111110264,1
2015702,14983329,11112091,18
2015702,14983329,11112498,6
2015702,14983329,111110264,1
2016902,11534557,11112091,18
2016902,11534557,11112498,6
2016902,11534557,111110264,1
2016902,16882752,11112091,18
2016902,16882752,11112498,6
2016902,16882752,111110264,1
2016902,169859,11112091,18
2016902,169859,11112498,6
2016902,169859,111110264,1
2016902,22009185,11112091,18
2016902,22009185,11112498,6
2016902,22009185,111110264,1
2016902,47557017,11112091,18
2016902,47557017,11112498,6
2016902,47557017,111110264,1
2016902,56262169,11112091,18
2016902,56262169,11112498,6
2016902,56262169,111110264,1
2017802,11850322,11112091,18
2017802,11850322,11112498,6
2017802,11850322,111110264,1
2017802,16620082,11112091,18
2017802,16620082,11112498,6
2017802,16620082,111110264,1
2018202,12303500,11112091,18
2018202,12303500,11112498,6
2018202,12303500,111110264,1
2018202,12346315,11112091,18
2018202,12346315,11112498,6
2018202,12346315,111110264,1
2018502,11139491,11112091,18
2018502,11139491,11112498,6
2018502,11139491,111110264,1
2018502,12735607,11112091,18
2018502,12735607,11112498,6
2018502,12735607,111110264,1
2018502,17676293,11112091,18
2018502,17676293,11112498,6
2018502,17676293,111110264,1
2018502,17730425,11112091,18
2018502,17730425,11112498,6
2018502,17730425,111110264,1
2021902,14252259,11112091,18
2021902,14252259,11112498,6
2021902,14252259,111110264,1
2021902,14712628,11112091,18
2021902,14712628,11112498,6
2021902,14712628,111110264,1
2021902,15596902,11112091,18
2021902,15596902,11112498,6
2021902,15596902,111110264,1
2022002,14365010,11112091,18
2022002,14365010,11112498,6
2022002,14365010,111110264,1
2023502,13173406,11112091,18
2023502,13173406,11112498,6
2023502,13173406,111110264,1
2023502,13173590,11112091,18
2023502,13173590,11112498,6
2023502,13173590,111110264,1
2023502,16836715,11112091,18
2023502,16836715,11112498,6
2023502,16836715,111110264,1
2023502,5608223,11112091,18
2023502,5608223,11112498,6
2023502,5608223,111110264,1
2024402,20795899,11112091,18
2024402,20795899,11112498,6
2024402,20795899,111110264,1
2024502,19424274,11112091,18
2024502,19424274,11112498,6
2024502,19424274,111110264,1
2024502,19448494,11112091,18
2024502,19448494,11112498,6
2024502,19448494,111110264,1
2024502,23125917,11112091,18
2024502,23125917,11112498,6
2024502,23125917,111110264,1
2024702,16325355,11112091,18
2024702,16325355,11112498,6
2024702,16325355,111110264,1
2024702,16371371,11112091,18
2024702,16371371,11112498,6
2024702,16371371,111110264,1
2024702,18784417,11112091,18
2024702,18784417,11112498,6
2024702,18784417,111110264,1
2024702,21450330,11112091,18
2024702,21450330,11112498,6
2024702,21450330,111110264,1
2025502,18163099,11112091,18
2025502,18163099,11112498,6
2025502,18163099,111110264,1
2025502,20971213,11112091,18
2025502,20971213,11112498,6
2025502,20971213,111110264,1
2026002,19650940,11112091,18
2026002,19650940,11112498,6
2026002,19650940,111110264,1
2026002,20302898,11112091,18
2026002,20302898,11112498,6
2026002,20302898,111110264,1
2027002,20302734,11112091,18
