user_id,server_id,created_at
31090282,2043802,2026-04-27 08:00:09.848
39411220,2047102,2026-04-27 08:00:11.668
42825618,2051302,2026-04-27 08:00:14.179
38115132,2046502,2026-04-27 08:00:16.353
47959597,2056102,2026-04-27 08:00:21.355
46162037,2054202,2026-04-27 08:00:24.109
30468145,2037402,2026-04-27 08:00:32.445
207121063,2085302,2026-04-27 08:00:38.761
59766795,2061402,2026-04-27 08:00:45.372
47239784,2058802,2026-04-27 08:00:46.171
16473350,2022002,2026-04-27 08:00:53.089
80420403,2077002,2026-04-27 08:00:53.207
80716692,2077102,2026-04-27 08:00:53.402
54937851,2060302,2026-04-27 08:01:00.103
207052297,2085302,2026-04-27 08:01:00.305
46573025,2054202,2026-04-27 08:01:02.690
34807442,2006102,2026-04-27 08:01:03.581
9023001,2012302,2026-04-27 08:01:04.881
38841126,2049702,2026-04-27 08:01:06.768
28187299,2032402,2026-04-27 08:01:08.831
12143109,2016902,2026-04-27 08:01:09.149
76730242,2075802,2026-04-27 08:01:09.302
41392128,2051002,2026-04-27 08:01:15.601
10842770,2015702,2026-04-27 08:01:15.605
56895815,2060302,2026-04-27 08:01:17.682
67722377,2066102,2026-04-27 08:01:17.861
73271573,2066102,2026-04-27 08:01:19.939
78863471,2075202,2026-04-27 08:01:20.535
23053983,2024502,2026-04-27 08:01:23.326
20971213,2025502,2026-04-27 08:01:27.858
14760885,2060302,2026-04-27 08:01:28.111
19846321,2018602,2026-04-27 08:01:33.245
23257706,2030502,2026-04-27 08:01:33.496
33106717,2038602,2026-04-27 08:01:34.229
3393056,2006402,2026-04-27 08:01:39.654
206123773,2084502,2026-04-27 08:01:40.745
220031353,2092502,2026-04-27 08:01:41.765
207697437,2086302,2026-04-27 08:01:41.867
23984226,2041002,2026-04-27 08:01:42.455
73798929,2066102,2026-04-27 08:01:43.949
208983684,2084502,2026-04-27 08:01:44.001
56920270,2060302,2026-04-27 08:01:47.866
36972163,2047102,2026-04-27 08:01:51.699
39290153,2047102,2026-04-27 08:01:53.287
221692934,2093502,2026-04-27 08:01:54.620
62448257,2061402,2026-04-27 08:01:54.784
19738598,2026002,2026-04-27 08:01:55.980
5003925,2006102,2026-04-27 08:01:59.488
212331358,2088202,2026-04-27 08:02:04.178
86252946,2079102,2026-04-27 08:02:05.171
209345537,2086302,2026-04-27 08:02:06.421
