server_id,user_id,asset_id,total_add_num
2000202,221769285,11117297,1
2000808,219002141,11117297,3
2000808,219012300,11117297,10
2000808,219023667,11117297,10
2000808,219034375,11117297,1
2000808,219056827,11117297,1
2000808,219075914,11117297,10
2000808,219077702,11117297,3
2000808,219079180,11117297,10
2000808,219119828,11117297,9
2000808,219153317,11117297,2
2000808,219272616,11117297,3
2000808,219297162,11117297,5
2000808,219324922,11117297,2
2000808,219335478,11117297,13
2000808,219355646,11117297,9
2000808,219378551,11117297,10
2000808,219378732,11117297,9
2000808,219414478,11117297,17
2000808,219490874,11117297,4
2000808,219508585,11117297,19
2000808,219516588,11117297,3
2000808,219521262,11117297,10
2000808,219532519,11117297,1
2000808,219552719,11117297,17
2000808,219569637,11117297,6
2000808,219577861,11117297,3
2000808,219588717,11117297,4
2000808,219591452,11117297,11
2000808,219604507,11117297,1
2000808,219621681,11117297,1
2000808,219626763,11117297,10
2000808,219637912,11117297,10
2000808,219692862,11117297,10
2000808,219708276,11117297,2
2000808,219719665,11117297,6
2000808,219751964,11117297,3
2000808,219813830,11117297,5
2000808,219898797,11117297,27
2000808,219915914,11117297,10
2000808,219923320,11117297,9
2000808,219962568,11117297,10
2000808,220011190,11117297,5
2000808,220026714,11117297,5
2000808,220077315,11117297,10
2000808,220135886,11117297,8
2000808,220137007,11117297,18
2000808,220145729,11117297,10
2000808,220167650,11117297,10
2000808,220468577,11117297,2
2000808,221396965,11117297,1
2000808,221739331,11117297,2
2006102,10724076,11117297,10
2006102,218542309,11117297,4
2006102,3279909,11117297,8
2006102,3595937,11117297,10
2006102,3629804,11117297,2
2006102,3722129,11117297,1
2006102,3977558,11117297,10
2006102,3993456,11117297,10
2006102,4003043,11117297,1
2006102,4123797,11117297,1
2006102,4442310,11117297,3
2006102,4984657,11117297,15
2006102,5003925,11117297,10
2006102,5426839,11117297,10
2006102,5971370,11117297,10
2006102,6151149,11117297,11
2006102,62553951,11117297,5
2006102,6454041,11117297,10
2006102,7536707,11117297,10
2006102,77506681,11117297,8
2006102,7830875,11117297,15
2006102,7837058,11117297,10
2006102,8302676,11117297,10
2006102,8405108,11117297,5
2006102,8676117,11117297,10
2006102,9034366,11117297,2
2006402,11095281,11117297,10
2006402,11096634,11117297,13
2006402,3835444,11117297,10
2006402,4037920,11117297,2
2006402,4665776,11117297,2
2006402,58455841,11117297,1
2006402,5849885,11117297,10
2006402,6128945,11117297,10
2006402,6149384,11117297,10
2006402,6153382,11117297,20
2006402,6306041,11117297,4
2006402,6333761,11117297,2
2006402,7489386,11117297,10
2006402,7568971,11117297,10
2006402,8050958,11117297,1
2006402,8152267,11117297,10
2006402,8167842,11117297,3
