user_id,server_id,asset_id,change_count,reason_id
207807190,2086302,111110002,13,mail_event_reissue
56667850,2046502,111110002,11,battle_pass_rewards
215520292,2010108,111110002,11,battle_pass_rewards
52274842,2058302,111110002,11,battle_pass_rewards
84957257,2079302,111110002,11,battle_pass_rewards
16303419,2041002,111110002,11,battle_pass_rewards
217972701,2091402,111110002,11,battle_pass_rewards
24196485,2031402,111110002,11,battle_pass_rewards
46019951,2054202,111110002,11,battle_pass_rewards
213149047,2088302,111110002,11,battle_pass_rewards
38489121,2047502,111110002,11,battle_pass_rewards
19981811,2043802,111110002,11,battle_pass_rewards
65105808,2060302,111110002,8,mail_event_reissue
86668938,2054002,111110002,7,mail_event_reissue
43788487,2052502,111110002,6,battle_pass_rewards
84303672,2079302,111110002,6,battle_pass_rewards
32624088,2041002,111110002,6,battle_pass_rewards
24608076,2603702,111110002,6,battle_pass_rewards
6151149,2006102,111110002,6,battle_pass_rewards
18841126,2024702,111110002,6,battle_pass_rewards
41763069,2049702,111110002,6,battle_pass_rewards
208769033,2086302,111110002,6,battle_pass_rewards
47557017,2016902,111110002,6,battle_pass_rewards
31692115,2038602,111110002,6,battle_pass_rewards
67192247,2060302,111110002,6,battle_pass_rewards
66718790,2062602,111110002,6,battle_pass_rewards
18661613,2024702,111110002,6,battle_pass_rewards
209345537,2086302,111110002,6,battle_pass_rewards
24952300,2037402,111110002,6,battle_pass_rewards
9570697,2013402,111110002,6,battle_pass_rewards
38357713,2006102,111110002,5,mail_event_reissue
200543839,2077002,111110002,5,battle_pass_rewards
219273468,2092102,111110002,5,mail_event_reissue
23919274,2033902,111110002,5,battle_pass_rewards
25431052,2032002,111110002,5,mail_event_reissue
87309226,2078402,111110002,5,battle_pass_rewards
56497290,2016902,111110002,5,mail_event_reissue
54298451,2051302,111110002,5,battle_pass_rewards
13591854,2015702,111110002,5,battle_pass_rewards
44300943,2055302,111110002,5,battle_pass_rewards
22641752,2027002,111110002,5,battle_pass_rewards
49504220,2052502,111110002,5,battle_pass_rewards
21112145,2012402,111110002,5,battle_pass_rewards
9126115,2006102,111110002,5,battle_pass_rewards
219508585,2000808,111110002,5,battle_pass_rewards
120679681,2600202,111110002,5,battle_pass_rewards
35665580,2016902,111110002,5,battle_pass_rewards
73695992,2066102,111110002,5,battle_pass_rewards
43310943,2052702,111110002,5,battle_pass_rewards
24974878,2032002,111110002,5,battle_pass_rewards
5840148,2008502,111110002,5,battle_pass_rewards
52607239,2055802,111110002,5,battle_pass_rewards
211232772,2087402,111110002,5,battle_pass_rewards
215138686,2010108,111110002,5,battle_pass_rewards
51591414,2058302,111110002,5,battle_pass_rewards
13354594,2014502,111110002,5,battle_pass_rewards
208440716,2086302,111110002,5,battle_pass_rewards
27222556,2033202,111110002,5,battle_pass_rewards
38674825,2049702,111110002,5,battle_pass_rewards
13040204,2019202,111110002,5,battle_pass_rewards
209874616,2086302,111110002,5,battle_pass_rewards
11782364,2079102,111110002,5,battle_pass_rewards
46604400,2054202,111110002,5,battle_pass_rewards
42313285,2055302,111110002,5,battle_pass_rewards
212090192,2087402,111110002,5,battle_pass_rewards
219591452,2000808,111110002,5,battle_pass_rewards
8980498,2012302,111110002,5,battle_pass_rewards
20344682,2041002,111110002,5,battle_pass_rewards
87829849,2078702,111110002,5,battle_pass_rewards
43125806,2051302,111110002,5,battle_pass_rewards
200933524,2604002,111110002,5,battle_pass_rewards
73660558,2066102,111110002,5,battle_pass_rewards
202181249,2077002,111110002,5,battle_pass_rewards
