服务器ID,玩家ID,事件次数
2020108,55531402,4225
2020208,43780156,2319
2020108,11534557,1498
2020108,63778994,1256
2021108,26453322,918
2020208,17676293,807
2020408,38749156,773
2020408,63799212,672
2020108,16303419,552
2020808,23865614,537
2020108,48300940,522
2021008,211904728,511
2001408,218155358,504
2020108,30122349,475
2021108,7378760,463
2020908,80491185,458
2020808,80744637,440
2020908,82785902,436
2020908,202176747,412
2021108,19535546,386
2020608,42367164,363
2020408,22901682,318
2020808,85219672,300
2020108,8151531,297
2021108,38319980,293
2021008,211423534,292
2020608,44931151,290
2020808,80312485,281
2021108,59231397,281
2020908,80758401,262
2021108,22023288,254
2020808,84957257,253
2020108,19981811,251
2020408,71916001,248
2020208,11129004,234
2090402,216198135,231
2020108,35216582,230
2020608,48205250,230
2021108,66718790,229
2020608,59961124,228
2021108,13083476,221
2020708,24608076,220
2021108,64771681,220
2020608,8654000,219
2020408,299630,218
2020108,120956657,215
2020108,47200242,212
2020608,37784995,211
2020608,7473273,208
2020108,35875544,205
2020108,8815955,205
2021108,56305413,198
2020108,8673338,197
2020808,35549372,190
2020608,53950953,190
2020408,8883313,187
2021108,22435751,187
2020808,82629288,183
2020608,40671256,183
2090002,215520292,183
2020108,50494222,180
2021008,208392743,171
2020708,23305159,166
2020608,24196485,165
2606502,214679593,164
2020608,29972957,162
2020408,22438308,161
2020608,6454041,160
2020208,49825474,156
2020608,67836518,154
2020808,81856946,152
2021208,53207534,151
2020608,40514320,147
2020208,52436180,146
2020608,38095618,145
2021108,12301610,143
2020108,31952856,141
2021108,63082603,141
2020708,13173590,141
2020808,83319984,139
2021108,7046415,138
2020208,17412891,137
2020708,17655371,137
2020808,83457219,129
2020608,70142578,129
2020908,78119608,128
2020708,36422175,128
2020908,79480736,128
2020808,77953241,128
2020408,38743885,127
2020108,46662749,127
2021108,20302898,126
2021208,7568871,126
2020108,44510856,126
2021108,57366251,125
2021008,210993055,125
2020608,38893932,123
2021108,37744135,119
2021008,209538568,119
2020108,169859,119
2020908,205211705,119
2020108,37962654,118
2020108,17576281,116
2021008,209131868,116
2021108,13270858,115
2020708,23245080,115
2020608,73660558,115
2020108,8873732,113
2020808,200004383,113
2020708,9511124,113
2020108,29339355,112
2021108,12346315,112
2020208,4829598,111
2020708,48056970,109
2020408,27777369,107
2021108,58987288,102
2020808,83376996,102
2020108,70971660,102
2020208,12735607,101
2020808,79751925,101
2020608,73588812,98
2020208,41008032,97
2020108,28916716,96
