user_id,server_id,level_name
219335478,2000808,4月循环关卡82_2
219414478,2000808,4月循环关卡82_2
219521262,2000808,4月循环关卡82_2
219571788,2000808,4月循环关卡82_2
219637912,2000808,4月循环关卡82_2
219692862,2000808,4月循环关卡82_2
219915914,2000808,4月循环关卡82_2
219962568,2000808,4月循环关卡82_2
219986123,2000808,4月循环关卡82_2
220145729,2000808,4月循环关卡82_2
10724076,2006102,4月循环关卡82_2
13063004,2006102,4月循环关卡82_2
3513023,2006102,4月循环关卡82_2
3595937,2006102,4月循环关卡82_2
3977558,2006102,4月循环关卡82_2
3993456,2006102,4月循环关卡82_2
4442310,2006102,4月循环关卡82_2
4984657,2006102,4月循环关卡82_2
5003925,2006102,4月循环关卡82_2
5485659,2006102,4月循环关卡82_2
5971370,2006102,4月循环关卡82_2
5986546,2006102,4月循环关卡82_2
6151149,2006102,4月循环关卡82_2
62553613,2006102,4月循环关卡82_2
6454041,2006102,4月循环关卡82_2
7536707,2006102,4月循环关卡82_2
7837058,2006102,4月循环关卡82_2
11095281,2006402,4月循环关卡82_2
3432326,2006402,4月循环关卡82_2
3835444,2006402,4月循环关卡82_2
6128945,2006402,4月循环关卡82_2
6149384,2006402,4月循环关卡82_2
7196041,2006402,4月循环关卡82_2
7489386,2006402,4月循环关卡82_2
8190086,2006402,4月循环关卡82_2
8198074,2006402,4月循环关卡82_2
2796424,2006502,4月循环关卡82_2
2845298,2006502,4月循环关卡82_2
2959905,2006502,4月循环关卡82_2
2985676,2006502,4月循环关卡82_2
3005757,2006502,4月循环关卡82_2
3029048,2006502,4月循环关卡82_2
3068897,2006502,4月循环关卡82_2
4417230,2006502,4月循环关卡82_2
4596249,2006502,4月循环关卡82_2
4793309,2006502,4月循环关卡82_2
4861422,2006502,4月循环关卡82_2
5067374,2006502,4月循环关卡82_2
5227772,2006502,4月循环关卡82_2
3915443,2006702,4月循环关卡82_2
4304786,2006702,4月循环关卡82_2
4313324,2006702,4月循环关卡82_2
4915991,2006702,4月循环关卡82_2
7399506,2006702,4月循环关卡82_2
8612335,2006702,4月循环关卡82_2
18209125,2007202,4月循环关卡82_2
19535546,2007202,4月循环关卡82_2
22568975,2007202,4月循环关卡82_2
22728403,2007202,4月循环关卡82_2
23709193,2007202,4月循环关卡82_2
24505327,2007202,4月循环关卡82_2
2762768,2007202,4月循环关卡82_2
39977184,2007202,4月循环关卡82_2
5197394,2007202,4月循环关卡82_2
5298070,2007202,4月循环关卡82_2
5300589,2007202,4月循环关卡82_2
5322570,2007202,4月循环关卡82_2
7473273,2007202,4月循环关卡82_2
7989837,2007202,4月循环关卡82_2
