user_id,server_id,asset_id,item_name
221769285,2000202,11117297,合成挖矿-研究药水100
219002141,2000808,11117297,合成挖矿-研究药水100
219012300,2000808,11117297,合成挖矿-研究药水100
219023667,2000808,11117297,合成挖矿-研究药水100
219034375,2000808,11117297,合成挖矿-研究药水100
219056827,2000808,11117297,合成挖矿-研究药水100
219077702,2000808,11117297,合成挖矿-研究药水100
219079180,2000808,11117297,合成挖矿-研究药水100
219119828,2000808,11117297,合成挖矿-研究药水100
219153317,2000808,11117297,合成挖矿-研究药水100
219272616,2000808,11117297,合成挖矿-研究药水100
219297162,2000808,11117297,合成挖矿-研究药水100
219324922,2000808,11117297,合成挖矿-研究药水100
219335478,2000808,11117297,合成挖矿-研究药水100
219355646,2000808,11117297,合成挖矿-研究药水100
219378732,2000808,11117297,合成挖矿-研究药水100
219414478,2000808,11117297,合成挖矿-研究药水100
219490874,2000808,11117297,合成挖矿-研究药水100
219508585,2000808,11117297,合成挖矿-研究药水100
219516588,2000808,11117297,合成挖矿-研究药水100
219521262,2000808,11117297,合成挖矿-研究药水100
219532519,2000808,11117297,合成挖矿-研究药水100
219552719,2000808,11117297,合成挖矿-研究药水100
219569637,2000808,11117297,合成挖矿-研究药水100
219577861,2000808,11117297,合成挖矿-研究药水100
219588717,2000808,11117297,合成挖矿-研究药水100
219591452,2000808,11117297,合成挖矿-研究药水100
219604507,2000808,11117297,合成挖矿-研究药水100
219621681,2000808,11117297,合成挖矿-研究药水100
219637912,2000808,11117297,合成挖矿-研究药水100
219692862,2000808,11117297,合成挖矿-研究药水100
219708276,2000808,11117297,合成挖矿-研究药水100
219719665,2000808,11117297,合成挖矿-研究药水100
219751964,2000808,11117297,合成挖矿-研究药水100
219813830,2000808,11117297,合成挖矿-研究药水100
219898797,2000808,11117297,合成挖矿-研究药水100
219923320,2000808,11117297,合成挖矿-研究药水100
220011190,2000808,11117297,合成挖矿-研究药水100
220077315,2000808,11117297,合成挖矿-研究药水100
220135886,2000808,11117297,合成挖矿-研究药水100
220137007,2000808,11117297,合成挖矿-研究药水100
220468577,2000808,11117297,合成挖矿-研究药水100
221396965,2000808,11117297,合成挖矿-研究药水100
