15700	阿尔及利亚加油（表情）	表情-世界杯	使用后永久获得「阿尔及利亚加油」世界杯聊天表情。	9		1	24	300			世界杯竞猜自选表情宝箱获取									DK_icon_global_WC_ALG			DK_Bg_CM_Item4					9999													
15701	阿根廷加油（表情）	表情-世界杯	使用后永久获得「阿根廷加油」世界杯聊天表情。	9		1	24	301			世界杯竞猜自选表情宝箱获取									DK_icon_global_WC_ARG			DK_Bg_CM_Item4					9999													
15702	澳大利亚加油（表情）	表情-世界杯	使用后永久获得「澳大利亚加油」世界杯聊天表情。	9		1	24	302			世界杯竞猜自选表情宝箱获取									DK_icon_global_WC_AUS			DK_Bg_CM_Item4					9999													
15703	奥地利加油（表情）	表情-世界杯	使用后永久获得「奥地利加油」世界杯聊天表情。	9		1	24	303			世界杯竞猜自选表情宝箱获取									DK_icon_global_WC_AUT			DK_Bg_CM_Item4					9999													
15704	比利时加油（表情）	表情-世界杯	使用后永久获得「比利时加油」世界杯聊天表情。	9		1	24	304			世界杯竞猜自选表情宝箱获取									DK_icon_global_WC_BEL			DK_Bg_CM_Item4					9999													
15705	波黑加油（表情）	表情-世界杯	使用后永久获得「波黑加油」世界杯聊天表情。	9		1	24	305			世界杯竞猜自选表情宝箱获取									DK_icon_global_WC_BIH			DK_Bg_CM_Item4					9999													
15706	巴西加油（表情）	表情-世界杯	使用后永久获得「巴西加油」世界杯聊天表情。	9		1	24	306			世界杯竞猜自选表情宝箱获取									DK_icon_global_WC_BRA			DK_Bg_CM_Item4					9999													
15707	加拿大加油（表情）	表情-世界杯	使用后永久获得「加拿大加油」世界杯聊天表情。	9		1	24	307			世界杯竞猜自选表情宝箱获取									DK_icon_global_WC_CAN			DK_Bg_CM_Item4					9999													
15708	科特迪瓦加油（表情）	表情-世界杯	使用后永久获得「科特迪瓦加油」世界杯聊天表情。	9		1	24	308			世界杯竞猜自选表情宝箱获取									DK_icon_global_WC_CIV			DK_Bg_CM_Item4					9999													
15709	刚果民主共和国加油（表情）	表情-世界杯	使用后永久获得「刚果民主共和国加油」世界杯聊天表情。	9		1	24	309			世界杯竞猜自选表情宝箱获取									DK_icon_global_WC_COD			DK_Bg_CM_Item4					9999													
15710	哥伦比亚加油（表情）	表情-世界杯	使用后永久获得「哥伦比亚加油」世界杯聊天表情。	9		1	24	310			世界杯竞猜自选表情宝箱获取									DK_icon_global_WC_COL			DK_Bg_CM_Item4					9999													
15711	佛得角加油（表情）	表情-世界杯	使用后永久获得「佛得角加油」世界杯聊天表情。	9		1	24	311			世界杯竞猜自选表情宝箱获取									DK_icon_global_WC_CPV			DK_Bg_CM_Item4					9999													
15712	克罗地亚加油（表情）	表情-世界杯	使用后永久获得「克罗地亚加油」世界杯聊天表情。	9		1	24	312			世界杯竞猜自选表情宝箱获取									DK_icon_global_WC_CRO			DK_Bg_CM_Item4					9999													
15713	库拉索加油（表情）	表情-世界杯	使用后永久获得「库拉索加油」世界杯聊天表情。	9		1	24	313			世界杯竞猜自选表情宝箱获取									DK_icon_global_WC_CUW			DK_Bg_CM_Item4					9999													
15714	捷克加油（表情）	表情-世界杯	使用后永久获得「捷克加油」世界杯聊天表情。	9		1	24	314			世界杯竞猜自选表情宝箱获取									DK_icon_global_WC_CZE			DK_Bg_CM_Item4					9999													
15715	厄瓜多尔加油（表情）	表情-世界杯	使用后永久获得「厄瓜多尔加油」世界杯聊天表情。	9		1	24	315			世界杯竞猜自选表情宝箱获取									DK_icon_global_WC_ECU			DK_Bg_CM_Item4					9999													
15716	埃及加油（表情）	表情-世界杯	使用后永久获得「埃及加油」世界杯聊天表情。	9		1	24	316			世界杯竞猜自选表情宝箱获取									DK_icon_global_WC_EGY			DK_Bg_CM_Item4					9999													
15717	英格兰加油（表情）	表情-世界杯	使用后永久获得「英格兰加油」世界杯聊天表情。	9		1	24	317			世界杯竞猜自选表情宝箱获取									DK_icon_global_WC_ENG			DK_Bg_CM_Item4					9999													
15718	西班牙加油（表情）	表情-世界杯	使用后永久获得「西班牙加油」世界杯聊天表情。	9		1	24	318			世界杯竞猜自选表情宝箱获取									DK_icon_global_WC_ESP			DK_Bg_CM_Item4					9999													
15719	法国加油（表情）	表情-世界杯	使用后永久获得「法国加油」世界杯聊天表情。	9		1	24	319			世界杯竞猜自选表情宝箱获取									DK_icon_global_WC_FRA			DK_Bg_CM_Item4					9999													
