80300	世界杯·阿尔及利亚助威头像框	头像框-世界杯	使用后永久获得「世界杯·阿尔及利亚」世界杯助威头像框。	9		1	4	10028|-1			世界杯竞猜自选头像框宝箱获取									DK_Img_Player_AvatarFrame_WC_ALG			DK_Bg_CM_Item4					9999													
80301	世界杯·阿根廷助威头像框	头像框-世界杯	使用后永久获得「世界杯·阿根廷」世界杯助威头像框。	9		1	4	10029|-1			世界杯竞猜自选头像框宝箱获取									DK_Img_Player_AvatarFrame_WC_ARG			DK_Bg_CM_Item4					9999													
80302	世界杯·澳大利亚助威头像框	头像框-世界杯	使用后永久获得「世界杯·澳大利亚」世界杯助威头像框。	9		1	4	10030|-1			世界杯竞猜自选头像框宝箱获取									DK_Img_Player_AvatarFrame_WC_AUS			DK_Bg_CM_Item4					9999													
80303	世界杯·奥地利助威头像框	头像框-世界杯	使用后永久获得「世界杯·奥地利」世界杯助威头像框。	9		1	4	10031|-1			世界杯竞猜自选头像框宝箱获取									DK_Img_Player_AvatarFrame_WC_AUT			DK_Bg_CM_Item4					9999													
80304	世界杯·比利时助威头像框	头像框-世界杯	使用后永久获得「世界杯·比利时」世界杯助威头像框。	9		1	4	10032|-1			世界杯竞猜自选头像框宝箱获取									DK_Img_Player_AvatarFrame_WC_BEL			DK_Bg_CM_Item4					9999													
80305	世界杯·波黑助威头像框	头像框-世界杯	使用后永久获得「世界杯·波黑」世界杯助威头像框。	9		1	4	10033|-1			世界杯竞猜自选头像框宝箱获取									DK_Img_Player_AvatarFrame_WC_BIH			DK_Bg_CM_Item4					9999													
80306	世界杯·巴西助威头像框	头像框-世界杯	使用后永久获得「世界杯·巴西」世界杯助威头像框。	9		1	4	10034|-1			世界杯竞猜自选头像框宝箱获取									DK_Img_Player_AvatarFrame_WC_BRA			DK_Bg_CM_Item4					9999													
80307	世界杯·加拿大助威头像框	头像框-世界杯	使用后永久获得「世界杯·加拿大」世界杯助威头像框。	9		1	4	10035|-1			世界杯竞猜自选头像框宝箱获取									DK_Img_Player_AvatarFrame_WC_CAN			DK_Bg_CM_Item4					9999													
80308	世界杯·科特迪瓦助威头像框	头像框-世界杯	使用后永久获得「世界杯·科特迪瓦」世界杯助威头像框。	9		1	4	10036|-1			世界杯竞猜自选头像框宝箱获取									DK_Img_Player_AvatarFrame_WC_CIV			DK_Bg_CM_Item4					9999													
80309	世界杯·刚果助威头像框	头像框-世界杯	使用后永久获得「世界杯·刚果」世界杯助威头像框。	9		1	4	10037|-1			世界杯竞猜自选头像框宝箱获取									DK_Img_Player_AvatarFrame_WC_COD			DK_Bg_CM_Item4					9999													
80310	世界杯·哥伦比亚助威头像框	头像框-世界杯	使用后永久获得「世界杯·哥伦比亚」世界杯助威头像框。	9		1	4	10038|-1			世界杯竞猜自选头像框宝箱获取									DK_Img_Player_AvatarFrame_WC_COL			DK_Bg_CM_Item4					9999													
80311	世界杯·佛得角助威头像框	头像框-世界杯	使用后永久获得「世界杯·佛得角」世界杯助威头像框。	9		1	4	10039|-1			世界杯竞猜自选头像框宝箱获取									DK_Img_Player_AvatarFrame_WC_CPV			DK_Bg_CM_Item4					9999													
80312	世界杯·克罗地亚助威头像框	头像框-世界杯	使用后永久获得「世界杯·克罗地亚」世界杯助威头像框。	9		1	4	10040|-1			世界杯竞猜自选头像框宝箱获取									DK_Img_Player_AvatarFrame_WC_CRO			DK_Bg_CM_Item4					9999													
80313	世界杯·库拉索助威头像框	头像框-世界杯	使用后永久获得「世界杯·库拉索」世界杯助威头像框。	9		1	4	10041|-1			世界杯竞猜自选头像框宝箱获取									DK_Img_Player_AvatarFrame_WC_CUW			DK_Bg_CM_Item4					9999													
80314	世界杯·捷克助威头像框	头像框-世界杯	使用后永久获得「世界杯·捷克」世界杯助威头像框。	9		1	4	10042|-1			世界杯竞猜自选头像框宝箱获取									DK_Img_Player_AvatarFrame_WC_CZE			DK_Bg_CM_Item4					9999													
80315	世界杯·厄瓜多尔助威头像框	头像框-世界杯	使用后永久获得「世界杯·厄瓜多尔」世界杯助威头像框。	9		1	4	10043|-1			世界杯竞猜自选头像框宝箱获取									DK_Img_Player_AvatarFrame_WC_ECU			DK_Bg_CM_Item4					9999													
80316	世界杯·埃及助威头像框	头像框-世界杯	使用后永久获得「世界杯·埃及」世界杯助威头像框。	9		1	4	10044|-1			世界杯竞猜自选头像框宝箱获取									DK_Img_Player_AvatarFrame_WC_EGY			DK_Bg_CM_Item4					9999													
80317	世界杯·英格兰助威头像框	头像框-世界杯	使用后永久获得「世界杯·英格兰」世界杯助威头像框。	9		1	4	10045|-1			世界杯竞猜自选头像框宝箱获取									DK_Img_Player_AvatarFrame_WC_ENG			DK_Bg_CM_Item4					9999													
80318	世界杯·西班牙助威头像框	头像框-世界杯	使用后永久获得「世界杯·西班牙」世界杯助威头像框。	9		1	4	10046|-1			世界杯竞猜自选头像框宝箱获取									DK_Img_Player_AvatarFrame_WC_ESP			DK_Bg_CM_Item4					9999													
80319	世界杯·法国助威头像框	头像框-世界杯	使用后永久获得「世界杯·法国」世界杯助威头像框。	9		1	4	10047|-1			世界杯竞猜自选头像框宝箱获取									DK_Img_Player_AvatarFrame_WC_FRA			DK_Bg_CM_Item4					9999													
80320	世界杯·德国助威头像框	头像框-世界杯	使用后永久获得「世界杯·德国」世界杯助威头像框。	9		1	4	10048|-1			世界杯竞猜自选头像框宝箱获取									DK_Img_Player_AvatarFrame_WC_GER			DK_Bg_CM_Item4					9999													
80321	世界杯·加纳助威头像框	头像框-世界杯	使用后永久获得「世界杯·加纳」世界杯助威头像框。	9		1	4	10049|-1			世界杯竞猜自选头像框宝箱获取									DK_Img_Player_AvatarFrame_WC_GHA			DK_Bg_CM_Item4					9999													
80322	世界杯·海地助威头像框	头像框-世界杯	使用后永久获得「世界杯·海地」世界杯助威头像框。	9		1	4	10050|-1			世界杯竞猜自选头像框宝箱获取									DK_Img_Player_AvatarFrame_WC_HAI			DK_Bg_CM_Item4					9999													
80323	世界杯·伊朗助威头像框	头像框-世界杯	使用后永久获得「世界杯·伊朗」世界杯助威头像框。	9		1	4	10051|-1			世界杯竞猜自选头像框宝箱获取									DK_Img_Player_AvatarFrame_WC_IRN			DK_Bg_CM_Item4					9999													
80324	世界杯·伊拉克助威头像框	头像框-世界杯	使用后永久获得「世界杯·伊拉克」世界杯助威头像框。	9		1	4	10052|-1			世界杯竞猜自选头像框宝箱获取									DK_Img_Player_AvatarFrame_WC_IRQ			DK_Bg_CM_Item4					9999													
80325	世界杯·约旦助威头像框	头像框-世界杯	使用后永久获得「世界杯·约旦」世界杯助威头像框。	9		1	4	10053|-1			世界杯竞猜自选头像框宝箱获取									DK_Img_Player_AvatarFrame_WC_JOR			DK_Bg_CM_Item4					9999													
80326	世界杯·日本助威头像框	头像框-世界杯	使用后永久获得「世界杯·日本」世界杯助威头像框。	9		1	4	10054|-1			世界杯竞猜自选头像框宝箱获取									DK_Img_Player_AvatarFrame_WC_JPN			DK_Bg_CM_Item4					9999													
