server_id,user_id,asset_id,amount,events
1003702,97139,111111315,15,2
1003702,100446,111111315,5,1
1003702,137384,111111315,5,1
1003702,138518,111111315,10,1
1003702,155699,111111315,10,1
1003702,212519,111111315,5,1
1003702,232335,111111315,10,1
1003702,243228,111111315,5,1
1003702,331191,111111315,34,3
1003702,335783,111111315,5,1
1003702,344989,111111315,5,1
1003702,345576,111111315,5,1
1003702,352774,111111315,5,1
1003702,390700,111111315,15,2
1003702,416536,111111315,5,1
1003702,447405,111111315,10,1
1003702,458765,111111315,4,1
1003702,459091,111111315,10,1
1003702,467320,111111315,5,1
1003702,467378,111111315,15,2
1003702,471185,111111315,5,1
1004502,472762,111111315,15,2
1004502,482464,111111315,5,1
1004502,488502,111111315,45,3
1004502,494436,111111315,15,2
1004502,506076,111111315,76,4
1004502,507924,111111315,8,1
1004502,517960,111111315,19,2
1004502,524183,111111315,10,1
1004502,529754,111111315,5,1
1004502,538134,111111315,49,3
1004502,541296,111111315,5,1
1004502,548478,111111315,5,1
1004502,553892,111111315,5,1
1004502,557434,111111315,15,2
1004502,559414,111111315,15,2
1004502,574693,111111315,5,1
1004502,578814,111111315,5,1
1004502,588018,111111315,17,2
1004502,989286,111111315,5,1
1005302,626110,111111315,5,1
1005302,646449,111111315,10,1
1005302,654117,111111315,8,1
1005302,660309,111111315,5,1
1005302,663123,111111315,18,2
1005302,672175,111111315,10,1
1005302,682018,111111315,10,1
1005302,694866,111111315,15,2
1005302,698389,111111315,10,1
1005302,701781,111111315,10,1
1005302,704303,111111315,10,1
1005302,706260,111111315,10,1
1005302,708090,111111315,5,1
1005302,714172,111111315,5,1
1005302,717626,111111315,10,1
1005302,717815,111111315,5,1
1005302,718583,111111315,10,1
1005302,726797,111111315,6,1
1005302,728384,111111315,10,1
1005302,731649,111111315,5,1
1005302,732180,111111315,10,1
1005302,733889,111111315,15,2
1005302,734388,111111315,5,1
1005302,737706,111111315,9,1
1005302,741009,111111315,15,2
1005302,742567,111111315,15,2
1006102,743860,111111315,805,4
1006102,749181,111111315,1,1
1006102,751222,111111315,5,1
1006102,757589,111111315,15,2
1006102,761929,111111315,6,1
1006102,775395,111111315,10,1
1006102,782862,111111315,4,1
1006102,804788,111111315,9,1
1006102,809967,111111315,15,2
1006102,819921,111111315,5,1
1006102,821934,111111315,10,1
1006102,838993,111111315,71,5
1006102,843507,111111315,5,1
1006102,852269,111111315,10,1
1006102,860169,111111315,12,2
1006102,867914,111111315,74,4
1006102,872958,111111315,15,2
1006102,883033,111111315,5,1
1006102,884505,111111315,10,1
1006102,889182,111111315,17,2
1006102,891189,111111315,10,1
1006102,894982,111111315,5,1
1006102,897249,111111315,11,2
1006102,897546,111111315,15,2
1006102,900564,111111315,5,1
1006102,901865,111111315,9,1
1006102,909860,111111315,5,1
1006502,920120,111111315,19,2
1006502,925874,111111315,16,2
1006502,930958,111111315,15,2
1006502,947662,111111315,6,1
1006502,961150,111111315,43,3
1006902,979222,111111315,5,1
1006902,992614,111111315,10,1
1006902,992688,111111315,15,2
1006902,1003103,111111315,10,1
1006902,1008410,111111315,15,2
1006902,1013163,111111315,10,1
1006902,1029011,111111315,5,1
1006902,1031039,111111315,5,1
1006902,1035659,111111315,12,2
1007302,1049464,111111315,15,2
1007302,1050039,111111315,10,1
1007302,1053689,111111315,10,1
1007302,1059369,111111315,15,2
1007302,1060974,111111315,5,1
1007302,1061355,111111315,10,2
1007302,1065642,111111315,10,1
1007302,1066940,111111315,5,1
1007302,1072097,111111315,1,1
1007302,1073501,111111315,11,2
1007302,1086651,111111315,5,1
1007502,1094378,111111315,1,1
1007502,1094644,111111315,10,1
1007502,1098552,111111315,15,2
1007502,1099650,111111315,10,1
1007502,1100938,111111315,25,3
1007502,1103859,111111315,15,2
1007502,1116703,111111315,5,1
1007702,1121673,111111315,5,1
1007702,1126547,111111315,5,1
1007702,1127653,111111315,10,1
1007702,1130656,111111315,10,1
1007702,1136485,111111315,15,2
1007702,1139867,111111315,10,1
1007702,1148011,111111315,5,1
1007902,1155322,111111315,68,3
1007902,1156326,111111315,15,2
1007902,1158343,111111315,5,1
1007902,1160311,111111315,15,2
1007902,1166224,111111315,10,1
1007902,1168493,111111315,5,1
1007902,1169297,111111315,5,1
1007902,1178311,111111315,10,1
1007902,1179696,111111315,10,1
1007902,1181450,111111315,10,1
1007902,1184024,111111315,1,1
1007902,1186074,111111315,1,1
1007902,1186613,111111315,25,3
1007902,1187116,111111315,10,1
1007902,1190093,111111315,10,1
1007902,1190701,111111315,15,2
1008102,1192052,111111315,15,2
1008102,1194407,111111315,15,2
1008102,1198015,111111315,15,2
1008102,1200667,111111315,5,1
1008102,1204532,111111315,10,1
1008102,1209673,111111315,5,1
1008102,1210974,111111315,15,2
1008102,1215029,111111315,5,1
1008102,1215103,111111315,10,1
1008102,1218150,111111315,11,2
1008102,1218975,111111315,6,1
1008102,1219577,111111315,10,1
1008102,1226355,111111315,15,2
1008302,1227797,111111315,15,2
1008302,1229056,111111315,15,2
1008302,1234068,111111315,5,1
1008302,1235777,111111315,1,1
1008302,1235973,111111315,48,3
1008302,1243431,111111315,15,2
1008302,1245542,111111315,103,6
1008302,1245787,111111315,76,4
1008302,1246071,111111315,10,1
1008302,1248585,111111315,15,2
