server_id,user_id
2000808,219012183
2000808,219532519
2000808,219915914
2000808,220167650
2006102,22159744
2006102,3977558
2006102,4442310
2006102,4501842
2006102,4984657
2006102,5986546
2006102,62553613
2006102,6454041
2006102,7536707
2006102,8338915
2006402,11092474
2006402,4239086
2006402,6346507
2006402,7196041
2006402,8198074
2006502,2860623
2006502,4596249
2006502,4861422
2006702,4313324
2007202,19535546
2007202,22627293
2007202,23709193
2007202,24505327
2007202,24524264
2007202,5197394
2007202,5802697
2007202,7473273
2007202,8094455
2007202,8638645
2008502,6081875
2008502,6668272
2010102,10473870
2010102,6881205
2010102,7684652
2010108,212873640
2010108,213078289
2010108,214371629
2010108,214517311
2010108,214651537
2010108,215607921
2010108,215837725
2010108,216198135
2010108,216595247
2010108,216708511
2010302,7568871
2010302,8763161
2010302,9194429
2010302,9274775
2012102,10648389
2012102,6232160
2012102,8724866
2012102,9692970
2012302,413420
2012302,8257988
2012302,8980498
2012302,8995697
2012402,16182800
2012402,34128288
2012402,3781116
2012402,45548775
2012402,5467177
2012402,7207312
2012402,8873732
2013402,7378760
2013402,9570697
2013402,9635432
2013602,9913973
2014502,10217197
2014502,13332615
2014502,13675287
2015702,10878467
2015702,13456586
2015702,13600351
2015702,14038457
2015702,14983329
2016902,11225640
2016902,11254755
2016902,11469430
2016902,11534557
2016902,13368196
2016902,169859
2016902,17232556
2016902,19751733
2016902,22009185
2016902,42561838
2016902,45102230
2016902,46329470
2016902,50494222
2016902,51573543
2016902,5463773
2016902,55919493
2016902,63778994
2016902,6774573
2017802,11698989
2018202,10747564
2018502,11121243
2018502,12770967
2018502,17242099
2018502,17750860
2018502,17920625
2018602,11835901
2018602,12411428
2018602,12505472
2018602,12877378
2018602,17413986
2019202,11167941
2019202,11714656
2019202,11930273
2019202,13074595
2019202,14347467
2021902,14463633
2021902,14712628
2021902,15433271
2021902,15596902
2021902,15692128
2021902,16045691
2022002,15015523
2023502,11348955
2023502,12925622
2023502,13186631
2023502,13197341
2023502,16836715
2023502,19448494
2023502,19505171
2024402,20795899
2024402,21210005
2024502,22015829
2024702,16489514
2024702,18661613
2024702,18765419
2024702,21450330
2025502,18163099
2025502,18374122
2025502,18556119
2026002,20302898
2027002,20380914
2028602,17164867
2028602,17244161
2028602,17393087
2028602,24608076
2029902,19910963
2029902,19997674
2029902,21167199
2029902,21431723
2029902,21929774
2029902,23558709
2030002,23478091
2030002,25882392
2030502,22917097
2030502,23090067
2030502,23485591
2031402,23858236
2031402,24196485
2031402,24265128
2031402,24346933
2031402,25939996
2032002,24783782
2032002,26068370
2032002,26072040
2032402,25566753
2032402,27652679
2032402,28013226
2033202,23336157
2033202,24850429
2033202,27222556
2033902,21065782
2033902,21084471
2033902,21105885
2033902,23969698
2033902,25225869
2033902,26898124
2033902,27995970
2037402,24952300
2037402,33226466
2037402,34153959
2037402,34659987
2037402,34785160
2038602,13260793
2038602,20432920
2038602,28806186
2038602,30599224
2038602,31318798
2038602,31692115
2038602,33106717
2038602,33522320
2039502,31369018
2039502,31770614
2039502,33800425
2039502,33985712
2039502,76546539
2041002,14331003
2041002,15138155
2041002,16303419
2041002,19068760
2041002,21815762
2041002,23563391
2041002,23984226
2041002,28887939
2041002,31184730
2041002,31230922
2041002,31419709
2041002,31952856
2041002,32002545
2041002,32174685
2041002,32624088
2041002,33250111
2041002,33372137
2041002,35494962
2041002,43060407
2041002,43351980
2041002,43589700
2043802,17777878
2043802,19594242
2043802,29035701
2043802,30219879
2043802,30366037
2043802,30429272
2043802,30434658
2043802,33106004
2043802,35644778
2043802,8359098
2044602,36422175
2044602,39522762
2044602,39547765
2046502,37021007
2046502,37744135
2046502,38257905
2046502,38316800
2046502,38521147
2047102,22104347
2047102,38138221
2047102,39358391
2047102,39378218
2047102,55554306
2047502,37250473
2047502,37311632
2047502,38096868
2049702,38623963
2049702,41821861
2050502,36717689
2050802,40264020
2051002,37602413
2051002,38893932
2051002,41884475
2051302,42235454
2051302,43142161
2051302,54295305
2052502,43785598
2052502,49833858
2052502,55411106
2052702,43582178
2052702,50681822
2054002,19893734
2054002,23084111
2054002,30122349
2054002,42220700
2054002,44510856
2054002,45813632
2054002,47059137
2054002,55807692
2054202,44931151
2054202,45623299
2054202,45629654
2054202,45816253
2054202,46220970
2054202,46644114
2054202,46727120
2054202,46728214
2054202,46746081
2054202,46844671
2054202,47084081
2055302,44313908
2055302,47488284
2055802,48984720
2055802,50100879
2055802,50406467
2055802,50416621
2056102,48591626
2056102,48651027
2056102,48669632
2056102,53016855
2058302,51347455
2058302,52645384
2058302,53293406
2058302,56636784
2058402,34210976
2058402,47568171
2058402,49669542
2058402,51791042
2058402,54055764
2058402,54108089
2058402,54336666
2058402,56451856
2058802,45331910
2058802,45923540
2058802,50002904
2058802,53324485
2060302,34871036
2060302,56201192
2060302,56649989
2060302,56667850
2060302,57045506
2060302,61772013
2060302,63894710
2060302,65065503
2060302,66195599
2060902,59793165
2060902,64981060
2061402,14412311
2061402,20647079
2061402,34108816
2061402,56756635
2061402,56963121
2061402,58790686
2061402,60437133
2062402,59231397
2062402,61997154
2062402,67428918
2062602,6002215
2063202,28877038
2063202,49831730
2063202,58092672
2063202,58160138
2063202,58615841
2063202,63721485
2066102,67519980
2066102,67761322
2066102,67836518
2066102,68854926
2066102,71128991
2066102,71135632
2066102,73276609
2066102,73978539
2066102,74183913
2068602,34839533
2068602,69885523
2068602,70971660
2069702,69464352
2069702,69966907
2069702,72038219
2069702,72563140
2073702,29241979
2073702,32101526
2073702,74788230
2073702,75446575
2073702,75578484
2074702,41440335
2074702,74112231
2074702,74174722
2074702,74617529
2074702,76135719
2074702,80043010
2075202,77636397
2075202,78628455
2075202,78889498
2075802,76897963
2075802,77112661
2075802,79023038
2077002,200011570
2077002,27608534
2077002,80504175
2077002,80513657
2077102,202943605
2077102,203382490
2077102,75449739
2077102,79782981
2077102,80572980
2077102,80643884
2077102,80716692
2077102,80744637
2077702,200914659
2077702,201058202
2077702,201729274
2077702,201800786
2077702,201850946
2078402,87417027
2078402,88354098
2078402,88534330
2078702,47967993
2078702,82181977
2078702,83076167
2078702,86805641
2079102,203534233
2079102,23865614
2079102,84490801
2079102,86016163
2079302,200117375
2079302,213220365
2079302,84101086
2079302,86730967
2079302,87483171
2079402,85208736
2079402,86207101
2084102,204704372
2084502,206050535
2084502,209520756
2085302,207180683
2085302,208909340
2086302,206659964
2086302,206872234
2086302,208034260
2086302,208769033
2087402,210710864
2087402,211362929
2087402,211375285
2087402,211992690
2087402,212090192
2088202,211039530
2088202,211904728
2088202,211959869
2088202,212231825
2088202,212325782
2088302,210305670
2088302,210370222
2088302,211424840
2088302,213149047
2088802,212692533
2088802,212734130
2088802,213540253
2088902,213572576
2090802,217010935
2090802,217885015
2091102,218466173
2091102,218473333
2091102,218896357
2091302,218151732
2091302,218155358
2091302,218215413
2091302,218649506
2091302,218655117
2092602,220310024
2092802,220553191
2092802,220673118
2093002,220967654
2093202,221031529
2093202,221222856
2093202,221241156
2093402,221617248
2093702,222104553
2093702,222105762
2093702,222132816
2600502,120956657
2600602,123245731
2603602,120178119
2606502,214679593
