892001		WC竞猜-32强-M1-A-$4.99				4.99	105		16			1	291101					1		1															巴西	猜对加送 +15			1000	202													
892002		WC竞猜-32强-M1-B-$4.99				4.99	105		16			1	291101					1		1															巴西	猜对加送 +15			1000	202													
892003		WC竞猜-32强-M2-A-$4.99				4.99	105		16			1	291101					1		1															巴西	猜对加送 +15			1000	202													
892004		WC竞猜-32强-M2-B-$4.99				4.99	105		16			1	291101					1		1															巴西	猜对加送 +15			1000	202													
892005		WC竞猜-32强-M3-A-$4.99				4.99	105		16			1	291101					1		1															巴西	猜对加送 +15			1000	202													
892006		WC竞猜-32强-M3-B-$4.99				4.99	105		16			1	291101					1		1															巴西	猜对加送 +15			1000	202													
892007		WC竞猜-32强-M4-A-$4.99				4.99	105		16			1	291101					1		1															巴西	猜对加送 +15			1000	202													
892008		WC竞猜-32强-M4-B-$4.99				4.99	105		16			1	291101					1		1															巴西	猜对加送 +15			1000	202													
892009		WC竞猜-32强-M5-A-$4.99				4.99	105		16			1	291101					1		1															巴西	猜对加送 +15			1000	202													
892010		WC竞猜-32强-M5-B-$4.99				4.99	105		16			1	291101					1		1															巴西	猜对加送 +15			1000	202													
892011		WC竞猜-32强-M6-A-$4.99				4.99	105		16			1	291101					1		1															巴西	猜对加送 +15			1000	202													
892012		WC竞猜-32强-M6-B-$4.99				4.99	105		16			1	291101					1		1															巴西	猜对加送 +15			1000	202													
892013		WC竞猜-32强-M7-A-$4.99				4.99	105		16			1	291101					1		1															巴西	猜对加送 +15			1000	202													
892014		WC竞猜-32强-M7-B-$4.99				4.99	105		16			1	291101					1		1															巴西	猜对加送 +15			1000	202													
892015		WC竞猜-32强-M8-A-$4.99				4.99	105		16			1	291101					1		1															巴西	猜对加送 +15			1000	202													
892016		WC竞猜-32强-M8-B-$4.99				4.99	105		16			1	291101					1		1															巴西	猜对加送 +15			1000	202													
892017		WC竞猜-32强-M9-A-$4.99				4.99	105		16			1	291101					1		1															巴西	猜对加送 +15			1000	202													
892018		WC竞猜-32强-M9-B-$4.99				4.99	105		16			1	291101					1		1															巴西	猜对加送 +15			1000	202													
892019		WC竞猜-32强-M10-A-$4.99				4.99	105		16			1	291101					1		1															巴西	猜对加送 +15			1000	202													
