	212101123	202科技节巨猿个人积分任务分组	task_group	[]	{}	1	0	0	[]	NULL	[2115113007,2115113008,2115113009,2115113010,2115113011,2115113012,2115113013,2115113014,2115113015,2115113016,2115113017,2115113018,2115113019,2115113020,2115113021]	[]	{}	[]	0
	212101124	2026科技节节巨猿奖励	festival_wonder	[{"asset":{"typ":"item","id":111111314,"val":1}}]	{}	13330067	0	0	[]	NULL	[3,10]	[]	{}	[]	0
	212101125	2026科技节-巨猿砸金蛋-升星石跳转	jump_link	[]	{"id":11684580}	111111300	0	0	[]	NULL	[]	[]	{}	[]	0
	212101126	2026科技节-巨猿砸金蛋-砸蛋锤跳转	jump_link	[]	{"id":11684581}	111111301	1	0	[]	NULL	[]	[]	{}	[]	0
	212101127	2026科技节-巨猿砸金蛋	wonder_egg_drop	[{"asset":{"typ":"item","id":111111301,"val":1}}]	{"args": [{"id":2115114064,"val":21242000},{"id":2115114065,"val":21242001},{"id":2115114066,"val":21242002},{"id":2115114067,"val":21242003},{"id":2115114068,"val":21242004},{"id":2115114069,"val":21242005},{"id":2115114070,"val":21242006}]}	0	0	0	[]	NULL	[]	[]	{}	[]	0
	212101128	通用_巨猿联盟积分任务分组	task_group	[]	{}	2	0	0	[]	NULL	[211551250,211551251,211551252,211551253,211551254]	[]	{}	[]	0
	212101129	通用_巨猿自选英雄展示	wonder_hero_display	[]	{}	11112327	0	0	[]	NULL	[19201098,19201072,19201079,19201021]	[]	{}	[]	0
	212101130	拓荒节巨猿限定时间积分翻倍buff1	buff	[]	{"typ":"day_avail","arg1":1,"arg3":1}	0	0	0	[]	NULL	[]	[{"typ":"buff","id":121111027,"arg1":10000}]	{}	[]	1
	212101131	拓荒节巨猿限定时间积分翻倍buff2	buff	[]	{"typ":"day_avail","arg1":9,"arg3":1}	0	0	0	[]	NULL	[]	[{"typ":"buff","id":121111027,"arg1":10000}]	{}	[]	1
	212101132	拓荒节巨猿限定时间积分翻倍buff3	buff	[]	{"typ":"day_avail","arg1":16,"arg3":1}	0	0	0	[]	NULL	[]	[{"typ":"buff","id":121111027,"arg1":10000}]	{}	[]	1
	212101133	登月节活动wonder-帮派领奖限制1	quest_reward_require	[]	{}	211551250	10000	22311125	[]	NULL	[]	[]	{"op":"and", "args": [{"op":"ge","typ":"festival_boss_dmg","val":10000}]}	[]	0
	212101134	登月节活动wonder-帮派领奖限制2	quest_reward_require	[]	{}	211551251	10000	22311125	[]	NULL	[]	[]	{"op":"and", "args": [{"op":"ge","typ":"festival_boss_dmg","val":10000}]}	[]	0
	212101135	登月节活动wonder-帮派领奖限制3	quest_reward_require	[]	{}	211551252	10000	22311125	[]	NULL	[]	[]	{"op":"and", "args": [{"op":"ge","typ":"festival_boss_dmg","val":10000}]}	[]	0
	212101136	登月节活动wonder-帮派领奖限制4	quest_reward_require	[]	{}	211551253	10000	22311125	[]	NULL	[]	[]	{"op":"and", "args": [{"op":"ge","typ":"festival_boss_dmg","val":10000}]}	[]	0
	212101137	登月节活动wonder-帮派领奖限制5	quest_reward_require	[]	{}	211551254	10000	22311125	[]	NULL	[]	[]	{"op":"and", "args": [{"op":"ge","typ":"festival_boss_dmg","val":10000}]}	[]	0
