2920	1	892001|892002	291102				
2976	1	893001|893002	291102				
2921	1	892003|892004	291102				
2922	1	892005|892006	291102				
2923	1	892007|892008	291102				
2977	1	893003|893004	291102				
2924	1	892009|892010	291102				
2925	1	892011|892012	291102				
2926	1	892013|892014	291102				
2978	1	893005|893006	291102				
2927	1	892015|892016	291102				
2928	1	892017|892018	291102				
2929	1	892019|892020	291102				
2979	1	893007|893008	291102				
2930	1	892021|892022	291102				
2931	1	892023|892024	291102				
2932	1	892025|892026	291102				
2980	1	893009|893010	291102				
2933	1	892027|892028	291102				
2934	1	892029|892030	291102				
2935	1	892031|892032	291102				
2981	1	893011|893012	291102				
2936	1	892033|892034	291102				
2937	1	892035|892036	291102				
2938	1	892037|892038	291102				
2939	1	892039|892040	291102				
2982	1	893013|893014	291102				
2940	1	892041|892042	291102				
2941	1	892043|892044	291102				
2942	1	892045|892046	291102				
2943	1	892047|892048	291102				
2983	1	893015|893016	291102				
2944	1	892049|892050	291102				
2945	1	892051|892052	291102				
2946	1	892053|892054	291102				
2947	1	892055|892056	291102				
2984	1	893017|893018	291102				
2948	1	892057|892058	291102				
2949	1	892059|892060	291102				
2950	1	892061|892062	291102				
2951	1	892063|892064	291102				
2985	1	893019|893020	291102				
2952	1	892065|892066	291102				
2953	1	892067|892068	291102				
2954	1	892069|892070	291102				
2986	1	893021|893022	291102				
2955	1	892071|892072	291102				
2956	1	892073|892074	291102				
2957	1	892075|892076	291102				
2987	1	893023|893024	291102				
2958	1	892077|892078	291102				
2959	1	892079|892080	291102				
2960	1	892081|892082	291102				
2961	1	892083|892084	291102				
2962	1	892085|892086	291102				
2963	1	892087|892088	291102				
2988	1	893025|893026	291102				
2964	1	892089|892090	291102				
2965	1	892091|892092	291102				
2966	1	892093|892094	291102				
2989	1	893027|893028	291102				
2967	1	892095|892096	291102				
2968	1	892097|892098	291102				
2969	1	892099|892100	291102				
2990	1	893029|893030	291102				
2970	1	892101|892102	291102				
2971	1	892103|892104	291102				
2972	1	892105|892106	291102				
2991	1	893031|893032	291102				
2973	1	892107|892108	291102				
2974	1	892109|892110	291102				
2975	1	892111|892112	291102				
2992	1	893033|893034	291102				
