# 深海BP进阶轨奖励内容 4344040-059 (克隆至尊轨4344020-039占位·数值待复盘)
# 列: [1]行id(连续40093起) [2]RewardID [4]ItemID [6]数量 [9]DropPara=10000
40093	4344040	1	245005		1		1	10000
40094	4344040	1	245004		50		1	10000
40095	4344041	1	245004		40		1	10000
40096	4344042	1	245004		40		1	10000
40097	4344043	1	245004		40		1	10000
40098	4344044	1	245004		40		1	10000
40099	4344045	1	245004		40		1	10000
40100	4344046	1	245004		40		1	10000
40101	4344047	1	245004		40		1	10000
40102	4344048	1	245004		40		1	10000
40103	4344049	1	245004		40		1	10000
40104	4344050	1	245004		40		1	10000
40105	4344051	1	245004		40		1	10000
40106	4344052	1	245004		40		1	10000
40107	4344053	1	245004		40		1	10000
40108	4344054	1	245004		40		1	10000
40109	4344055	1	245004		40		1	10000
40110	4344056	1	245004		40		1	10000
40111	4344057	1	245004		40		1	10000
40112	4344058	1	245004		40		1	10000
40113	4344059	1	245004		100		1	10000
40114	4344059	1	245005		1		1	10000
