# 深海BP奖励组142 — 补齐进阶轨(col6),2轨->3轨(免费col5/进阶col6/至尊col7)
# 列: [1]行id [2]组 [3]等级 [4]升级积分 [5]免费 [6]进阶(新补4344040-059) [7]至尊 [8]col8
14138	142	1	200	4344000	4344040	4344020	1500
14133	142	2	200	4344001	4344041	4344021	1500
14132	142	3	200	4344002	4344042	4344022	1500
14134	142	4	200	4344003	4344043	4344023	1500
14136	142	5	500	4344004	4344044	4344024	1500
14126	142	6	500	4344005	4344045	4344025	1500
14121	142	7	500	4344006	4344046	4344026	1500
14128	142	8	500	4344007	4344047	4344027	1500
14130	142	9	900	4344008	4344048	4344028	1500
14123	142	10	900	4344009	4344049	4344029	1500
14122	142	11	900	4344010	4344050	4344030	1500
14125	142	12	900	4344011	4344051	4344031	1500
14127	142	13	1200	4344012	4344052	4344032	1500
14139	142	14	1200	4344013	4344053	4344033	1500
14135	142	15	1200	4344014	4344054	4344034	1500
14124	142	16	1200	4344015	4344055	4344035	1500
14131	142	17	1300	4344016	4344056	4344036	1500
14140	142	18	1300	4344017	4344057	4344037	1500
14137	142	19	1300	4344018	4344058	4344038	1500
14129	142	20	1300	4344019	4344059	4344039	1500
