2030,1836917,7657916720681058304,600
1750,1412842,7655307536565272576,600
1310,446779,7655307532154961920,600
1990,1795227,7657916720670572544,600
2120,1933225,7657916720704651264,600
2200,2000363,7657916720725622784,600
2100,1909425,7657916720699408384,600
1910,1685612,7655307536607215616,600
2080,1885462,7657916720694165505,600
2120,1933113,7657916720704651264,600
2160,1954527,7657916720715137026,600
2060,1871776,7657916720688922624,600
2030,1830106,7657916720681058304,600
1700,1365272,7655307536552165376,600
2240,2044335,7657916720736108546,600
2000,1816751,7657916720673193984,600
2170,1960154,7657916720717758467,600
1680,1294341,7655307536546922496,600
1990,1798365,7657916720670572544,600
2020,1824543,7657916720678436864,600
2170,1969019,7657916720717758467,600
2050,1848147,7657916720686301184,600
2180,1977552,7657916720720379904,600
1870,1617198,7655307536596729856,600
1990,1796910,7657916720670572544,600
2020,1831239,7657916720678436864,600
1680,1293801,7655307536546922496,600
1910,1679394,7655307536607215616,600
1610,1600268,7655307536528572416,600
2180,1993631,7657916720720379904,600
2210,2002236,7657916720728244224,600
1910,1682925,7655307536607215616,600
1980,1787266,7657916720667951104,600
2060,1859370,7657916720688922624,600
1580,882506,7655307536520708096,600
2170,1975687,7657916720717758467,600
2200,2009431,7657916720725622784,600
2060,1872590,7657916720688922624,600
2250,2042056,7657916720738729984,600
2100,1913712,7657916720699408384,600
2050,1851204,7657916720686301184,600
2080,1886683,7657916720694165505,600
1990,1800625,7657916720670572544,600
2050,1839558,7657916720686301184,600
1570,847947,7655307536518086656,600
1670,1249323,7655307536544301056,600
2090,1898628,7657916720696786944,600
1940,1756242,7655307536615079936,600
1910,1692171,7655307536607215616,600
2040,1857294,7657916720683679744,600
1440,758192,7655307532189040640,600
2240,2035361,7657916720736108546,600
2160,1961552,7657916720715137026,600
2000,1820793,7657916720673193984,600
2020,1823334,7657916720678436864,600
1440,719387,7655307532189040640,600
1740,1403555,7655307536562651136,600
1930,1739533,7655307536612458496,600
1350,509060,7655307532165447680,600
1770,1446634,7655307536570515456,600
1560,1520931,7655307532220497920,600
2180,1995612,7657916720720379904,600
2200,2001461,7657916720725622784,600
2080,1885102,7657916720694165505,600
2000,1898596,7657916720673193984,600
1870,1615474,7655307536596729856,600
2100,1902416,7657916720699408384,600
2050,1848922,7657916720686301184,600
2240,2045302,7657916720736108546,600
1310,443635,7655307532154961920,600
2170,1964026,7657916720717758467,600
1940,1754179,7655307536615079936,600
1600,982279,7655307536525950976,600
2140,1946892,7657916720709894146,600
1350,505273,7655307532165447680,600
1680,1287839,7655307536546922496,600
1350,492652,7655307532165447680,600
1870,1605445,7655307536596729856,600
1910,1675218,7655307536607215616,600
2060,1873313,7657916720688922624,600
1390,636444,7655307532175933440,600
1580,2041291,7655307536520708096,600
2020,1828155,7657916720678436864,600
1990,1871305,7657916720670572544,600
1860,1597253,7655307536594108416,600
1920,1721643,7655307536609837056,600
2180,1987968,7657916720720379904,600
1510,745142,7655307532207390822,600
2020,1828918,7657916720678436864,600
1630,1098397,7655307536533815297,600
1790,1484631,7655307536575758336,600
1800,1498739,7655307536578379776,600
2050,1840026,7657916720686301184,600
2240,2039973,7657916720736108546,600
1680,1274516,7655307536546922496,600
1730,1387146,7655307536560029696,600
2160,1972397,7657916720715137026,600
2190,1984014,7657916720723001344,600
1550,806787,7655307532217876480,600
2020,1823806,7657916720678436864,600
1440,1390714,7655307532189040640,600
1270,309817,7655307532144476160,600
1960,1772783,7655307536620322816,600
1620,1056761,7655307536531193856,600
1310,437228,7655307532154961920,600
1930,1738316,7655307536612458496,600
1910,1680956,7655307536607215616,600
2000,1812926,7657916720673193984,600
1310,539126,7655307532154961920,600
1640,1117991,7655307536536436736,600
1950,1763315,7655307536617701376,600
1690,1338336,7655307536549543936,600
2080,1888882,7657916720694165505,600
1270,286780,7655307532144476160,600
1970,1778408,7655307536622944256,600
1910,1686142,7655307536607215616,600
1910,1691320,7655307536607215616,600
2040,1856006,7657916720683679744,600
1930,1742859,7655307536612458496,600
2220,2015227,7657916720730865664,600
2010,1805816,7657916720675815424,600
2060,1875424,7657916720688922624,600
2040,1851736,7657916720683679744,600
2180,1993857,7657916720720379904,600
1270,242251,7655307532144476160,600
1910,1667050,7655307536607215616,600
1420,698459,7655307532183797761,600
2000,1816212,7657916720673193984,600
1510,765217,7655307532207390822,600
2030,1834053,7657916720681058304,600
2140,1947586,7657916720709894146,600
1940,1754098,7655307536615079936,600
2170,1955906,7657916720717758467,600
2070,1872435,7657916720691544065,600
2220,2026670,7657916720730865664,600
1950,1758751,7655307536617701376,600
2210,2001601,7657916720728244224,600
1660,1216548,7655307536541679616,600
1650,1182870,7655307536539058176,600
1630,1087822,7655307536533815297,600
1310,444288,7655307532154961920,600
1920,1725642,7655307536609837056,600
1740,1400398,7655307536562651136,600
1950,1765872,7655307536617701376,600
1910,1704982,7655307536607215616,600
1800,1506342,7655307536578379776,600
1970,1784451,7655307536622944256,600
1910,1700528,7655307536607215616,600
1910,1680680,7655307536607215616,600
1970,1776214,7655307536622944256,600
2070,1873423,7657916720691544065,600
2140,1947537,7657916720709894146,600
