1001	格蕾丝			D1
10011	仙蒂公主·格蕾丝	一阶晋升礼包 $4.99	获得格蕾丝时弹出，持续2天	D1
10012	白雪公主·格蕾丝	二阶晋升礼包 $39.99	格蕾丝晋升一次，触发后第二天开，持续2天	D4
1002	莉莉			D1
1003	斯嘉丽			D1
1005	黛西			D1
1006	茉莉			D1
1007	奥利芙			D1
1011	哈珀			D1
10111	哈珀	一阶晋升礼包$29.99	酿酒坊升到18级，持续2天	
1012	塞琪			D1
1013	斯特拉			D1
1015	海泽尔			D1
1016	艾丽丝			D1
10161	艾丽丝	一阶晋升礼包 $39.99	海域开放16天，持续3天	
1019	艾米			D1
1020	阿米娜			D1
10201	阿米娜	一阶晋升礼包 $39.99	完成情报主线1触发，不限时	D1
1037	莫妮卡			D1
1038	罗西			D1
1039	卡蜜拉			D1
1022	阿迪娜			D1
1030	弗莱彻			D1
1036	哈妮			D1
1043	凌霜	UP1		D1
1042	夜玫瑰	UP1		D1
10431	伤痕累累·凌霜	一阶晋升礼包 $19.99	由活动触发	D2
10421	圣光·夜玫瑰	一阶晋升礼包 $39.99	由活动触发	D8
10432	凌霜·布鲁斯·李	二阶晋升礼包 $29.99	由活动触发	D15
1047	艾琳娜	UP2		D22
1040	爱莉希雅	UP2		D29
1044	星璃	UP3		D35
1045	露娜	UP3		D35
1051	佐伊	UP4		
1008	克里斯塔尔	幸运大转盘（钻石）		D12
10081	仙女教母·克里斯塔尔	一阶晋升礼包 $39.99	获得克里斯塔尔时弹出，持续2天	D12
1004	鲁比	公会商店	玩家5级加入公会后开放	D1
10041	鲁比	公会商店-一阶晋升	获得鲁比 & 公会旗舰3级	D1
10042	鲁比	公会商店-二阶晋升	获得一阶鲁比 & 公会旗舰5级	D1
1021	贝拉	活动-俘获芳心		D1
10211	贝拉			D1
1024	芬贝克	钓鱼推关送		D1
10241	芬贝克	钓鱼达到100关		D1
1029	奥黛丽	黑市解锁		D2
10291	奥黛丽	一阶晋升礼包 $29.99	获得舞娘。触发后持续7天	D2
10292	奥黛丽	二阶晋升礼包 $39.99	舞娘晋升一次。触发后第二天开，持续14天	D6
1035	阿什顿			D6
1017	赛米拉	活动-开业回馈		D8
1032	斯隆	竞技场1期		D1
10321	斯隆	一阶晋升礼包 $39.99	获得斯隆。触发后持续2天	D8
1010	莎拉	竞技场2期		D8
1048	金明珠	竞技场3期		D15
1031	海瑟	每日特惠		D1
10311	海瑟	一阶晋升礼包 $49.99	活动投放	D9
1034	霍普金斯	破冰礼包 $2.99、VIP礼包		D1
1023	克利欧佩特拉	VIP7礼包、活动-新手累充 $600		D1
1014	柳柳			D4
10141	魔法师·柳柳	一阶晋升礼包 $39.99	随活动开启，持续3天	D5
10142	自由·柳柳	二阶晋升礼包 $99.99	购买一阶礼包后，触发后第4天开，持续2天	D13
1009	琥珀	奇观2期		D24
1018	雅典娜	奇观3期		D39
1033	玛琳娜	活动-30留大转盘/BP 19.99		D30
1028	维奥莱特			D18
1026	海瑞克斯	待定		D22
1025	尼西斯	KVK-S1		D29
1027	拉维耶	KVK-S1		D36
1046	雷娜	KVK-S1		D43
1049	诺瓦尔	KVK-S2		
1050	艾娃	KVK-S2		
1055	诺娃	------		
1041	莉雅	------		
1056	维丹蒂亚	------		
