# 字段:	ID	RewardID	ItemType	ItemID	列1	MinNum	MaxNum	DropType	DropPara	PreviewItem	GoodsQuality	列2	ExtParams1	ExtParams2
# 每包: 椰风遮阳椅151043×1 + 深海节抽奖券(待建)×N + 钻石 + VIP；DropPara=10000；同RewardID内col0连续
25089	211016	1	151043	椰风遮阳椅	1		1	10000					
25090	211016	1	<深海节抽奖券·待建>	深海节抽奖券	40		1	10000					
25091	211016	1	1002	钻石	10000		1	10000					
25092	211016	1	2022	100 VIP点数	100		1	10000					
25093	211017	1	151043	椰风遮阳椅	1		1	10000					
25094	211017	1	<深海节抽奖券·待建>	深海节抽奖券	60		1	10000					
25095	211017	1	1002	钻石	10000		1	10000					
25096	211017	1	2022	100 VIP点数	100		1	10000					
25097	211018	1	151043	椰风遮阳椅	1		1	10000					
25098	211018	1	<深海节抽奖券·待建>	深海节抽奖券	80		1	10000					
25099	211018	1	1002	钻石	10000		1	10000					
25100	211018	1	2022	100 VIP点数	100		1	10000					
